state,year,distid_stateassigned,schoolid_stateassigned,distname,schoolname,ncesdistid_admin,ncesdistid_geo,census_id,ncesid,ncesenroll,gradespan,level,enroll_raw_NV,enrollmetric,pp_stloc_raw_NV,pp_fed_raw_NV,pp_total_raw_NV,schoolstloc_raw_NV,schoolfed_raw_NV,schooltot_raw_NV,pp_total_norm_NERDS,pp_perfed_raw_NV,pp_nonperfed_raw_NV,pp_perstloc_raw_NV,pp_nonperstloc_raw_NV,pp_personnel_raw_NV,pp_nonpersonnel_raw_NV,pp_instruction_raw_NV,pp_noninstruction_raw_NV,pp_nonperson_instruction_fed_raw_NV,pp_nonperson_instruction_stloc_raw_NV,pp_nonperson_instructionsupport_fed_raw_NV,pp_nonperson_instructionsupport_stloc_raw_NV,pp_nonperson_leadership_fed_raw_NV,pp_nonperson_leadership_stloc_raw_NV,pp_nonperson_operations_fed_raw_NV,pp_nonperson_operations_stloc_raw_NV,pp_person_instruction_fed_raw_NV,pp_person_instruction_stloc_raw_NV,pp_person_instructionsupport_fed_raw_NV,pp_person_instructionsupport_stloc_raw_NV,pp_person_leadership_fed_raw_NV,pp_person_leadership_stloc_raw_NV,pp_person_operations_fed_raw_NV,pp_person_operations_stloc_raw_NV,pp_total_nonperson_instructionsupport_raw_NV,pp_total_nonperson_leadership_raw_NV,pp_total_nonperson_operations_raw_NV,pp_total_person_instructionsupport_raw_NV,pp_total_person_leadership_raw_NV,pp_total_person_operations_raw_NV,countenroll,noaudit,nositecen,adfinvars,distflex,flag_nerds,flag_f33
NV,2018-2019,2,2192,Clark,Joseph Thiriot Elementary,3200060,3200060,29500200100000.0,320006000653.0,724.0,PK-05,2.0,724,Student Count,8648.14,872.459999999999,9520.59999999999,6261253.35999999,631661.039999999,6892914.39999999,9790.428825,679.07,193.39,7529.5,1118.63999999999,8208.57,1312.03,5583.62,300.61,128.18,172.43,63.45,128.89,0,1.33,1.76,815.99,416.71,5166.91,262.29,754.53,0.07,652.8,0,955.26,192.339999999999,1.33,817.75,1016.81999999999,652.87,955.26,1,0,1,1,0,0,0
NV,2018-2019,2,2071,Clark,Josh Stevens Elementary School,3200060,3200060,29500200100000.0,320006000875.0,932.0,PK-05,2.0,932,Student Count,7114.43,379.27,7493.7,6630648.76,353479.64,6984128.4,7763.528825,234.01,145.26,6046.01,1068.41999999999,6280.02,1213.68,4664.28,361.99,86.64,275.35,56.9,157.59,0,3.61,1.72,631.87,127.97,4536.31,105.97,461.92,0.07,237.68,0,810.1,214.49,3.61,633.59,567.89,237.75,810.1,1,0,1,1,0,0,0
NV,2018-2019,2,2186,Clark,Judy & John Goolsby Elementary,3200060,3200060,29500200100000.0,320006000581.0,824.0,PK-05,2.0,824,Student Count,7690.93,218.47,7909.4,6337326.32,180019.28,6517345.6,8179.228825,163.71,54.76,6773.64,917.29,6937.35,972.05,5140.79,172.38,18.82,153.56,35.56,283.61,0,0.58,0.38,479.54,71.29,5069.5,92.38,520.72,0.04,531.24,0,652.18,319.17,0.58,479.92,613.1,531.28,652.18,1,0,1,1,0,0,0
NV,2018-2019,2,2098,Clark,Judy D Steele  Elementary,3200060,3200060,29500200100000.0,320006000722.0,777.0,PK-05,2.0,777,Student Count,8123.19,335.12,8458.31,6311718.63,260388.24,6572106.86999999,8728.138825,229.62,105.5,7075.80999999999,1047.38,7305.42999999999,1152.88,5421.34,290.34,46.47,243.87,58.7,191.82,0,1.13,0.33,610.56,132.08,5289.26,97.5,528.16,0.04,541.07,0,717.32,250.519999999999,1.13,610.89,625.66,541.11,717.32,1,0,1,1,0,0,0
NV,2018-2019,2,2341,Clark,Justice Myron E Leavitt Middle School,3200060,3200060,29500200100000.0,320006000534.0,1641.0,06-08,3.0,1641,Student Count,6572.10999999999,339.75,6911.85999999999,10784832.5099999,557529.75,11342362.2599999,7181.688825,244.239999999999,95.5099999999999,5523.19999999999,1048.90999999999,5767.43999999999,1144.41999999999,3882.52999999999,230.02,63.99,166.03,31.2,349.66,0,0.85,0.32,532.37,108.72,3773.81,135.48,462.97,0.04,533.52,0,752.9,380.86,0.85,532.69,598.45,533.56,752.9,1,0,1,1,0,0,0
NV,2018-2019,2,2939,Clark,Juvenile Detention 3-5,3200060,3200060,29500200100000.0,320006000807.0,0.0,03-05,2.0,NRD,Student Count,NRD,NRD,NRD,NRD,NRD,NRD,,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,1,0,1,1,0,1,0
NV,2018-2019,2,2912,Clark,Juvenile detentions ***,3200060,3200060,29500200100000.0,320006000020.0,58.0,06-12,4.0,58,Student Count,12965.5699999999,2999.31999999999,15964.8899999999,752003.059999999,173960.56,925963.619999999,16234.71882,2984.79,14.53,12567.2199999999,398.35,15552.0099999999,412.88,12477.4499999999,230.94,6.37,224.57,7.52,32.05,0,0.23,0.64,141.5,1157.23,11320.22,1827.52,567.23,0.04,614.47,0,65.3,39.5699999999999,0.23,142.14,2394.75,614.51,65.3,1,0,1,1,0,0,0
NV,2018-2019,2,2309,Clark,K O Knudson Junior High School,3200060,3200060,29500200100000.0,320006000062.0,1320.0,06-08,3.0,1320,Student Count,7898.01,459.11,8357.12,10425373.2,606025.2,11031398.4,8626.948825,360.19,98.92,6620.37,1277.64,6980.55999999999,1376.56,4682.32,217.83,51.47,166.36,45.74,445.33,0,1.68,1.71,664.27,276.44,4405.88,83.68,505.37,0.07,716.78,0,992.34,491.07,1.68,665.98,589.05,716.85,992.34,1,0,1,1,0,0,0
NV,2018-2019,2,2346,Clark,Kathleen & Tim Harney Middle School,3200060,3200060,29500200100000.0,320006000553.0,1818.0,06-08,3.0,1818,Student Count,7116.24999999999,452.65,7568.89999999999,12937342.4999999,822917.7,13760260.1999999,7838.728825,292.03,160.62,5837.22,1279.02999999999,6129.25,1439.64999999999,4076,435.93,105.43,330.5,53.48,286.54,0,3.62,1.71,658.37,199.56,3876.44,92.4,457.78,0.07,628.46,0,874.54,340.02,3.62,660.08,550.18,628.53,874.54,1,0,1,1,0,0,0
NV,2018-2019,2,2193,Clark,Kathy Batterman Elementary,3200060,3200060,29500200100000.0,320006000654.0,790.0,PK-05,2.0,790,Student Count,8137.54,164.09,8301.63,6428656.6,129631.1,6558287.69999999,8571.458825,109.01,55.08,7219.11,918.43,7328.12,973.51,5436.35,158.34,14.28,144.06,40.47,166.75,0,4.6,0.33,603.02,19.93,5416.42,89.04,511.21,0.04,523.99,0,767.49,207.22,4.6,603.35,600.25,524.03,767.49,1,0,1,1,0,0,0
