state,year,distid_stateassigned,schoolid_stateassigned,distname,schoolname,ncesdistid_admin,ncesdistid_geo,census_id,ncesid,ncesenroll,gradespan,level,enroll_raw_KS,enrollmetric,pp_stloc_raw_KS,pp_fed_raw_KS,pp_total_raw_KS,schoolstloc_raw_KS,schoolfed_raw_KS,schooltot_raw_KS,pp_total_norm_NERDS,countenroll,noaudit,nositecen,adfinvars,distflex,flag_nerds,flag_f33
KS,2018-2019,D0260,1928,Derby,Oaklawn Elem,2005460,2005460,17508700700000.0,200546000354,269.0,PK-05,2.0,249,September Count Day,11009,1754,12763,2741236,436835,3178071,12446.17783,1,0,1,0,1,0,0
KS,2018-2019,D0260,1945,Derby,Park Hill Elementary,2005460,2005460,17508700700000.0,200546001721,370.0,PK-05,2.0,364.1,September Count Day,9056,679,9735,3297225,247121,3544346,9518.197708,1,0,1,0,1,0,0
KS,2018-2019,D0260,1930,Derby,Paul B Cooper Elem,2005460,2005460,17508700700000.0,200546000355,328.0,PK-05,2.0,299,September Count Day,10469,1263,11733,3130347,377785,3508132,11450.20044,1,0,1,0,1,0,0
KS,2018-2019,D0260,1932,Derby,Pleasantview Elem,2005460,2005460,17508700700000.0,200546000356,282.0,PK-05,2.0,260,September Count Day,9298,814,10112,2417542,211527,2629069,9882.744771,1,0,1,0,1,0,0
KS,2018-2019,D0260,1934,Derby,Swaney Elem,2005460,2005460,17508700700000.0,200546000357,458.0,PK-05,2.0,432,September Count Day,9093,536,9630,3928290,231656,4159946,9416.666033,1,0,1,0,1,0,0
KS,2018-2019,D0260,1944,Derby,Tanglewood Elem,2005460,2005460,17508700700000.0,200546001599,459.0,PK-05,2.0,383.9,September Count Day,8562,828,9390,3286781,317853,3604634,9184.593633,1,0,1,0,1,0,0
KS,2018-2019,D0260,1936,Derby,Wineteer Elem,2005460,2005460,17508700700000.0,200546000358,472.0,PK-05,2.0,459.5,September Count Day,8580,678,9258,3942611,311456,4254067,9056.953813,1,0,1,0,1,0,0
KS,2018-2019,D0471,7492,Dexter,Dexter Elem,2005520,2005520,17501801000000.0,200552001244,93.0,PK-05,2.0,82.5,September Count Day,9741,996,10737,803619,82211,885830,11146.94022,1,0,1,0,1,0,0
KS,2018-2019,D0471,7494,Dexter,Dexter High,2005520,2005520,17501801000000.0,200552001245,107.0,06-12,4.0,107,September Count Day,12544,494,13038,1342182,52844,1395026,13371.93435,1,0,1,0,1,0,0
KS,2018-2019,D0482,7778,Dighton,Dighton Elem,2005550,2005550,17505100300000.0,200555001294,152.0,PK-06,2.0,140.5,September Count Day,8259,277,8535,1160340,38879,1199219,,1,0,1,0,1,1,1
KS,2018-2019,D0482,7782,Dighton,Dighton High,2005550,2005550,17505100300000.0,200555001296,96.0,07-12,4.0,96,September Count Day,17042,82,17124,1636017,7904,1643921,,1,0,1,0,1,1,1
KS,2018-2019,D0443,6687,Dodge City,Beeson Elementary,2005580,2005580,17502900400000.0,200558000879,357.0,KG-05,2.0,357,September Count Day,8607,1440,10047,3072628,514138,3586766,10654.25471,1,0,1,0,1,0,0
KS,2018-2019,D0443,6674,Dodge City,Central Elem,2005580,2005580,17502900400000.0,200558001089,281.0,KG-05,2.0,280,September Count Day,9127,1326,10453,2555688,371160,2926848,11046.84386,1,0,1,0,1,0,0
KS,2018-2019,D0443,6707,Dodge City,Comanche Middle School,2005580,2005580,17502900400000.0,200558001743,741.0,06-08,3.0,739.7,September Count Day,9660,1280,10940,7145400,946863,8092263,11517.75743,1,0,1,0,1,0,0
KS,2018-2019,D0443,6686,Dodge City,Dodge City High School,2005580,2005580,17502900400000.0,200558001095,2000.0,09-12,4.0,1997.9,September Count Day,8943,1133,10076,17867256,2263637,20130893,10682.29679,1,0,1,0,1,0,0
KS,2018-2019,D0443,6684,Dodge City,Dodge City Middle School,2005580,2005580,17502900400000.0,200558001094,782.0,06-08,3.0,767.7,September Count Day,9851,1385,11235,7562496,1062966,8625462,11803.01309,1,0,1,0,1,0,0
KS,2018-2019,D0443,6688,Dodge City,Linn Elementary,2005580,2005580,17502900400000.0,200558000887,429.0,KG-05,2.0,398.4,September Count Day,7846,1474,9320,3125916,587221,3713137,9951.268732,1,0,1,0,1,0,0
KS,2018-2019,D0443,6678,Dodge City,Miller Elem,2005580,2005580,17502900400000.0,200558001091,787.0,PK-05,2.0,549.5,September Count Day,9105,5697,14802,5003064,3130663,8133727,15252.18914,1,0,1,0,1,1,0
KS,2018-2019,D0443,6680,Dodge City,Northwest Elem,2005580,2005580,17502900400000.0,200558001092,404.0,KG-05,2.0,403,September Count Day,7601,1338,8939,3063158,539313,3602471,9582.853796,1,0,1,0,1,0,0
KS,2018-2019,D0443,6685,Dodge City,Ross Elementary School,2005580,2005580,17502900400000.0,200558001905,524.0,KG-05,2.0,524,September Count Day,7405,1247,8652,3880016,653382,4533398,9305.333884,1,0,1,0,1,0,0
KS,2018-2019,D0443,6689,Dodge City,Soule Elementary School,2005580,2005580,17502900400000.0,200558000888,414.0,KG-05,2.0,413.2,September Count Day,8230,1310,9540,3400463,541475,3941938,10164.00177,1,0,1,0,1,0,0
KS,2018-2019,D0443,6682,Dodge City,Sunnyside Elem,2005580,2005580,17502900400000.0,200558001093,343.0,PK-05,2.0,288.2,September Count Day,8874,2795,11670,2557623,805601,3363224,12223.64432,1,0,1,0,1,0,0
KS,2018-2019,D0443,6702,Dodge City,Wilroads Gardens Elem,2005580,2005580,17502900400000.0,200558001096,117.0,KG-05,2.0,117,September Count Day,9759,1452,11210,1141758,169839,1311597,11778.83889,1,0,1,0,1,0,0
KS,2018-2019,D0111,201,Doniphan West Schools,Doniphan West Elementary School,2000348,2000348,17502201800000.0,200034801963,201.0,PK-06,2.0,193,September Count Day,10082,641,10723,1945891,123624,2069515,11098.45064,1,0,1,0,1,0,0
KS,2018-2019,D0111,200,Doniphan West Schools,Doniphan West JR/SR High School,2000348,2000348,17502201800000.0,200034801941,130.0,07-12,4.0,130,September Count Day,18436,331,18767,2396681,43040,2439721,18876.74393,1,0,1,0,1,0,0
KS,2018-2019,D0396,5414,Douglass Public Schools,Douglass High,2005610,2005610,17500801500000.0,200561000895,251.0,09-12,4.0,248.8,September Count Day,10777,567,11344,2681346,141128,2822474,12472.94304,1,0,1,0,1,0,0
KS,2018-2019,D0396,5411,Douglass Public Schools,Leonard C Seal Elem,2005610,2005610,17500801500000.0,200561000894,275.0,PK-05,2.0,255.5,September Count Day,8950,1034,9984,2286825,264133,2550958,11157.8661,1,0,1,0,1,0,0
KS,2018-2019,D0396,5413,Douglass Public Schools,Marvin Sisk Middle School,2005610,2005610,17500801500000.0,200561000725,154.0,06-08,3.0,153.1,September Count Day,11244,651,11895,1721460,99695,1821155,13005.74259,1,0,1,0,1,0,0
KS,2018-2019,D0410,5812,Durham-Hillsboro-Lehigh,Hillsboro Elem,2007290,2007290,17505802500000.0,200729000960,320.0,PK-05,2.0,288.7,September Count Day,9238,840,10079,2667080,242630,2909710,10167.16546,1,0,1,0,1,0,0
KS,2018-2019,D0410,5814,Durham-Hillsboro-Lehigh,Hillsboro Middle/High School,2007290,2007290,17505802500000.0,200729000961,295.0,06-12,4.0,294.8,September Count Day,13829,305,14134,4076891,89920,4166811,14088.22206,1,0,1,0,1,0,0
KS,2018-2019,D0449,6919,Easton,Pleasant Ridge Elementary,2005640,2005640,17505201100000.0,200564001773,284.0,PK-05,2.0,280,September Count Day,7923,3198,11121,2218438,895467,3113905,11256.62115,1,0,1,0,1,0,0
KS,2018-2019,D0449,6918,Easton,Pleasant Ridge High,2005640,2005640,17505201100000.0,200564001131,231.0,09-12,4.0,230.3,September Count Day,8530,2150,10680,1964467,495207,2459674,10830.18812,1,0,1,0,1,0,0
KS,2018-2019,D0449,6917,Easton,Pleasant Ridge Middle,2005640,2005640,17505201100000.0,200564001130,142.0,06-08,3.0,141,September Count Day,8133,2481,10615,1146806,349878,1496684,10767.33517,1,0,1,0,1,0,0
KS,2018-2019,D0490,8011,El Dorado,Blackmore Elementary,2005730,2005730,17500801700000.0,200573002105,378.0,PK-05,2.0,348.5,September Count Day,8531,761,9292,2972986,265226,3238212,9583.194339,1,0,1,0,1,0,0
KS,2018-2019,D0490,8002,El Dorado,El Dorado High,2005730,2005730,17500801700000.0,200573001333,543.0,09-12,4.0,540.9,September Count Day,11103,11,11114,6005690,5862,6011552,11345.01065,1,0,1,0,1,0,0
KS,2018-2019,D0490,8000,El Dorado,El Dorado Middle,2005730,2005730,17500801700000.0,200573001332,396.0,06-08,3.0,396,September Count Day,11921,357,12278,4720639,141318,4861957,12470.56179,1,0,1,0,1,0,0
KS,2018-2019,D0490,7990,El Dorado,Grandview Elem,2005730,2005730,17500801700000.0,200573001327,262.0,PK-05,2.0,257,September Count Day,9229,374,9603,2371923,96082,2468005,9883.921491,1,0,1,0,1,0,0
KS,2018-2019,D0490,8009,El Dorado,Skelly Elementary School,2005730,2005730,17500801700000.0,200573002059,326.0,PK-05,2.0,315,September Count Day,9267,688,9956,2919219,216777,3135996,10225.26131,1,0,1,0,1,0,0
KS,2018-2019,D0283,2470,Elk Valley,Elk Valley Elementary,2005760,2005760,17502580100000.0,200576000435,65.0,PK-05,2.0,59.5,September Count Day,19610,2224,21834,1166812,132305,1299117,22582.27632,1,0,1,0,1,0,0
KS,2018-2019,D0283,2472,Elk Valley,Elk Valley High School,2005760,2005760,17502580100000.0,200576000436,31.0,06-12,4.0,31,September Count Day,17958,2171,20129,556692,67301,623993,20933.59531,1,0,1,0,1,0,0
KS,2018-2019,D0218,516,Elkhart,Elkhart Elem,2005790,2005790,17506500200000.0,200579000080,173.0,PK-04,2.0,157.1,September Count Day,8229,1775,10004,1292710,278921,1571631,10588.33039,1,0,1,0,1,0,0
KS,2018-2019,D0218,520,Elkhart,Elkhart High,2005790,2005790,17506500200000.0,200579000081,116.0,09-12,4.0,116,September Count Day,13589,735,14324,1576320,85312,1661632,14765.63359,1,0,1,0,1,0,0
KS,2018-2019,D0218,514,Elkhart,Elkhart Middle School,2005790,2005790,17506500200000.0,200579000079,118.0,05-08,3.0,118,September Count Day,10658,1283,11941,1257626,151381,1409007,12461.34805,1,0,1,0,1,0,0
KS,2018-2019,D0218,523,Elkhart,Kansas Connections Academy,2005790,2005790,17506500200000.0,200579001973,809.0,KG-12,4.0,793.3,September Count Day,4894,0,4894,3882264,0,3882264,5647.122195,1,0,1,0,1,1,0
KS,2018-2019,D0218,525,Elkhart,Point Rock Alternative,2005790,2005790,17506500200000.0,200579002003,32.0,09-12,4.0,20.6,September Count Day,3287,539,3826,67717,11106,78823,4614.400013,1,0,1,0,1,1,0
KS,2018-2019,D0307,3082,Ell-Saline,Ell-Saline Elementary,2005800,2005800,17508500700000.0,200580000528,276.0,PK-06,2.0,259,September Count Day,10182,1107,11289,2637070,286732,2923802,11793.76116,1,0,1,0,1,0,0
KS,2018-2019,D0307,3080,Ell-Saline,Ell-Saline Middle/High School,2005800,2005800,17508500700000.0,200580000527,208.0,07-12,4.0,208,September Count Day,11113,281,11394,2311508,58394,2369902,11895.29283,1,0,1,0,1,0,0
KS,2018-2019,D0355,4320,Ellinwood Public Schools,Ellinwood  Middle School,2005820,2005820,17500501600000.0,200582000732,73.0,07-08,3.0,59.5,September Count Day,11923,746,12669,709416,44384,753800,12777.8032,1,0,1,0,1,0,0
KS,2018-2019,D0355,4318,Ellinwood Public Schools,Ellinwood Elem,2005820,2005820,17500501600000.0,200582000731,293.0,PK-06,2.0,248,September Count Day,10639,1154,11792,2638367,286151,2924518,11929.77197,1,0,1,0,1,0,0
KS,2018-2019,D0355,4322,Ellinwood Public Schools,Ellinwood High,2005820,2005820,17500501600000.0,200582000733,138.0,09-12,4.0,138,September Count Day,12806,707,13512,1767163,97510,1864673,13592.9575,1,0,1,0,1,0,0
KS,2018-2019,D0388,5238,Ellis,Ellis Jr/Sr High,2005850,2005850,17502600800000.0,200585000868,217.0,07-12,4.0,216.6,September Count Day,9190,842,10032,1990633,182328,2172961,10568.73217,1,0,1,0,1,0,0
KS,2018-2019,D0388,5236,Ellis,Washington Elem,2005850,2005850,17502600800000.0,200585000867,242.0,PK-06,2.0,196,September Count Day,10572,1387,11959,2072079,271888,2343967,12432.08015,1,0,1,0,1,0,0
KS,2018-2019,D0327,3594,Ellsworth,Ellsworth Elem,2005870,2005870,17502700800000.0,200587000610,260.0,PK-04,2.0,256,September Count Day,8680,946,9627,2222202,242207,2464409,10038.45334,1,0,1,0,1,0,0
KS,2018-2019,D0327,3598,Ellsworth,Ellsworth High,2005870,2005870,17502700800000.0,200587000611,270.0,07-12,4.0,270,September Count Day,11960,600,12560,3229130,162133,3391263,12874.57147,1,0,1,0,1,0,0
