state,year,distid_stateassigned,schoolid_stateassigned,distname,schoolname,ncesdistid_admin,ncesdistid_geo,census_id,ncesid,ncesenroll,gradespan,level,enroll_raw_VT,enrollmetric,pp_stloc_raw_VT,pp_fed_raw_VT,pp_total_raw_VT,schoolstloc_raw_VT,schoolfed_raw_VT,schooltot_raw_VT,pp_total_norm_NERDS,su_id_raw_VT,su_name_raw_VT,countenroll,noaudit,nositecen,adfinvars,distflex,flag_nerds,flag_f33
VT,2018-2019,U014,PS197,Mount Anthony UHSD #14,MT ANTHONY UNION MIDDLE SCHOOL,5005810.0,5005810,46500280100000.0,500581000463,595.0,06-08,3.0,595,October Count Day,10375,0,10375,6173125,0,6173125,11478.19331,SU005,SOUTHWEST VERMONT SU,1,0,1,0,0,0,0
VT,2018-2019,U086,PS008,Mount Ascutney School District #86,ALBERT BRIDGE SCH (W WIND),5008880.0,5000442,46501402400000.0,500044200371,,PK-06,2.0,61,October Count Day,17310,0,17310,1055910,0,1055910,22351.75676,SU052,WINDSOR SOUTHEAST SU,1,0,1,0,0,0,0
VT,2018-2019,U086,PS410,Mount Ascutney School District #86,WINDSOR SCHOOL,,5000442,,500044200539,,PK-12,4.0,541,October Count Day,11619,0,11619,6285879,0,6285879,,SU052,WINDSOR SOUTHEAST SU,1,0,1,0,0,0,0
VT,2018-2019,U401A,PS307,Mount Mansfield Modified USD #401A,UNDERHILL ID ELEMENTARY SCHOOL,5000387.0,5000387,46500470300000.0,500038700332,,,,89,October Count Day,11366,0,11366,1011574,0,1011574,,SU012,CHITTENDEN EAST SU,1,0,1,0,0,1,1
VT,2018-2019,U401,PS041,Mount Mansfield Unified Union School District #401,BREWSTER PIERCE ELEMENTARY SCHOOL,5004770.0,5000443,46500401000000.0,500044300160,,PK-04,2.0,107,October Count Day,10301,0,10301,1102207,0,1102207,12885.23571,SU012,MT MANSFIELD UNIFIED UNION SD,1,0,1,0,0,0,0
VT,2018-2019,U401,PS050,Mount Mansfield Unified Union School District #401,BROWNS RIVER MIDDLE SCHOOL,5005840.0,5000443,,500044300398,,05-08,3.0,412,October Count Day,10031,0,10031,4132772,0,4132772,,SU012,MT MANSFIELD UNIFIED UNION SD,1,0,1,0,0,0,0
VT,2018-2019,U401,PS058,Mount Mansfield Unified Union School District #401,CAMELS HUMP MIDDLE SCHOOL,5005840.0,5000443,,500044300399,,05-08,3.0,324,October Count Day,11650,0,11650,3774600,0,3774600,,SU012,MT MANSFIELD UNIFIED UNION SD,1,0,1,0,0,0,0
VT,2018-2019,U401,PS152,Mount Mansfield Unified Union School District #401,JERICHO ELEMENTARY SCHOOL,5004980.0,5000443,,500044300167,,PK-04,2.0,249,October Count Day,9808,0,9808,2442192,0,2442192,,SU012,MT MANSFIELD UNIFIED UNION SD,1,0,1,0,0,0,0
VT,2018-2019,U401,PS199,Mount Mansfield Unified Union School District #401,MT MANSFIELD USD,5005840.0,5000443,,500044300210,,09-12,4.0,782,October Count Day,10171,0,10171,7953722,0,7953722,,SU012,MT MANSFIELD UNIFIED UNION SD,1,0,1,0,0,0,0
VT,2018-2019,U401,PS243,Mount Mansfield Unified Union School District #401,RICHMOND ELEMENTARY SCHOOL,5006840.0,5000443,,500044300258,,PK-04,2.0,215,October Count Day,11722,0,11722,2520230,0,2520230,,SU012,MT MANSFIELD UNIFIED UNION SD,1,0,1,0,0,0,0
VT,2018-2019,U401,PS270,Mount Mansfield Unified Union School District #401,SMILIE MEMORIAL SCHOOL(BOLTON),5002310.0,5000443,,500044300038,,PK-04,2.0,78,October Count Day,10632,0,10632,829296,0,829296,,SU012,MT MANSFIELD UNIFIED UNION SD,1,0,1,0,0,0,0
VT,2018-2019,U401,PS306,Mount Mansfield Unified Union School District #401,UNDERHILL CENTRAL ELEMENTARY SCHOOL,5008220.0,5000443,,500044300333,,PK-04,2.0,95,October Count Day,12455,0,12455,1183225,0,1183225,,SU012,MT MANSFIELD UNIFIED UNION SD,1,0,1,0,0,0,0
VT,2018-2019,U061,PS023,Mt. Abraham Unified School District,BEEMAN ELEMENTARY SCHOOL,5000425.0,5000425,46500180400000.0,500042500211,93.0,PK-06,2.0,77,October Count Day,13578,602,14180,1045506,46354,1091860,,SU001,MT ABRAHAM UNIFIED SCHOOL DISTRICT,1,0,1,0,0,0,1
VT,2018-2019,U061,PS045,Mt. Abraham Unified School District,BRISTOL ELEMENTARY SCHOOL,5000425.0,5000425,46500180400000.0,500042500423,308.0,PK-06,2.0,250,October Count Day,11425,506,11931,2856250,126500,2982750,,SU001,MT ABRAHAM UNIFIED SCHOOL DISTRICT,1,0,1,0,0,0,1
VT,2018-2019,U061,PS162,Mt. Abraham Unified School District,LINCOLN COMMUNITY SCHOOL,5000425.0,5000425,46500180400000.0,500042500174,130.0,PK-06,2.0,116,October Count Day,13115,581,13696,1521340,67396,1588736,,SU001,MT ABRAHAM UNIFIED SCHOOL DISTRICT,1,0,1,0,0,0,1
VT,2018-2019,U061,PS189,Mt. Abraham Unified School District,MONKTON CENTRAL SCHOOL,5000425.0,5000425,46500180400000.0,500042500196,167.0,PK-06,2.0,147,October Count Day,10285,456,10741,1511895,67032,1578927,,SU001,MT ABRAHAM UNIFIED SCHOOL DISTRICT,1,0,1,0,0,0,1
VT,2018-2019,U061,PS195,Mt. Abraham Unified School District,MT ABRAHAM UHS #28,5000425.0,5000425,46500180400000.0,500042500338,627.0,07-12,4.0,627,October Count Day,14139,627,14766,8865153,393129,9258282,,SU001,MT ABRAHAM UNIFIED SCHOOL DISTRICT,1,0,1,0,0,0,1
VT,2018-2019,U061,PS246,Mt. Abraham Unified School District,ROBINSON SCHOOL,5000425.0,5000425,46500180400000.0,500042500317,154.0,PK-06,2.0,133,October Count Day,12905,572,13477,1716365,76076,1792441,,SU001,MT ABRAHAM UNIFIED SCHOOL DISTRICT,1,0,1,0,0,0,1
VT,2018-2019,T139,PS204,Newport City School District,NEWPORT CITY ELEM SCHOOLS,5006000.0,5006000,46501001600000.0,500600000439,367.0,PK-06,2.0,309,October Count Day,9475,1233,10708,2927775,380997,3308772,,SU031,NORTH COUNTRY SU,1,0,1,0,0,1,1
VT,2018-2019,T140,PS205,Newport Town School District,NEWPORT TOWN SCHOOL,5006030.0,5006030,46501001700000.0,500603000218,98.0,PK-06,2.0,80,October Count Day,16799,0,16799,1343920,0,1343920,,SU031,NORTH COUNTRY SU,1,0,1,0,0,1,1
VT,2018-2019,U022A,PS364,North Country Junior UHSD #22,NORTH COUNTRY UNION JR HIGH #22A,5009570.0,5009570,46501020300000.0,500957000470,253.0,07-08,3.0,253,October Count Day,12919,0,12919,3268507,0,3268507,,SU031,NORTH COUNTRY SU,1,0,1,0,0,1,1
VT,2018-2019,U022B,VC010,North Country Senior UHSD #22,North Country Career Center,5009600.0,5009600,46501050100000.0,500960000107,0.0,09-12,4.0,NRD,October Count Day,NRD,NRD,NRD,NRD,NRD,NRD,,NRD,NRD,1,0,1,0,0,1,1
VT,2018-2019,U022B,PS208,North Country Senior UHSD #22,NORTH COUNTRY UHS #22B,5009600.0,5009600,46501050100000.0,500960000220,680.0,09-12,4.0,680,October Count Day,10989,0,10989,7472520,0,7472520,,SU031,NORTH COUNTRY SU,1,0,1,0,0,0,1
VT,2018-2019,U085,PS015,Northern Mountain Valley Unified Union School District #85,BAKERSFIELD SCHOOL,5001890.0,5000441,46500600200000.0,500044100009,,PK-08,3.0,124,October Count Day,10901,0,10901,1351724,0,1351724,13869.50667,SU020,FRANKLIN NORTHEAST SU,1,0,1,0,0,0,0
VT,2018-2019,U085,PS032,Northern Mountain Valley Unified Union School District #85,BERKSHIRE ELEMENTARY SCHOOL,5002190.0,5000441,46500600300000.0,500044100034,,PK-08,3.0,181,October Count Day,10689,0,10689,1934709,0,1934709,13871.3381,SU020,FRANKLIN NORTHEAST SU,1,0,1,0,0,0,0
VT,2018-2019,U085,PS190,Northern Mountain Valley Unified Union School District #85,MONTGOMERY ELEMENTARY SCHOOL,5005670.0,5000441,46500601000000.0,500044100197,,PK-08,3.0,117,October Count Day,9672,0,9672,1131624,0,1131624,13397.51351,SU020,FRANKLIN NORTHEAST SU,1,0,1,0,0,0,0
VT,2018-2019,U085,PS266,Northern Mountain Valley Unified Union School District #85,SHELDON ELEMENTARY SCHOOL,5007350.0,5000441,46500601400000.0,500044100286,,PK-08,3.0,258,October Count Day,10015,399,10414,2583870,102942,2686812,13363.95946,SU020,FRANKLIN NORTHEAST SU,1,0,1,0,0,0,0
VT,2018-2019,T145,PS176,Norwich School District,MARION W CROSS SCHOOL,5006180.0,5006180,46501401300000.0,500618000230,318.0,PK-06,2.0,278,October Count Day,12623,267,12890,3509194,74226,3583420,,SU055,SAU 70,1,0,1,0,0,1,1
VT,2018-2019,U059,PS038,Orange Southwest Unified School District,BRAINTREE SCHOOL,5000400.0,5000400,46500980200000.0,500040000422,103.0,PK-06,2.0,88,October Count Day,12682,0,12682,1116016,0,1116016,,SU028,ORANGE SOUTHWEST SU,1,0,1,0,0,0,1
