state,year,distid_stateassigned,schoolid_stateassigned,distname,schoolname,ncesdistid_admin,ncesdistid_geo,census_id,ncesid,ncesenroll,gradespan,level,enroll_raw_RI,enrollmetric,pp_stloc_raw_RI,pp_fed_raw_RI,pp_total_raw_RI,schoolstloc_raw_RI,schoolfed_raw_RI,schooltot_raw_RI,pp_total_norm_NERDS,countenroll,noaudit,nositecen,adfinvars,distflex,flag_nerds,flag_f33
RI,2018-2019,28,28170el,Providence,Times2 Academy (Elem),4400900,4400900,40200400430100.0,,,,,334.561111111111,ADM,12004.98,0,,4016399.44766666,0,,,0,0,1,0,0,0,0
RI,2018-2019,28,28170hs,Providence,Times2 Academy (High),4400900,4400900,40200400430100.0,,,,,148.783333333333,ADM,11171.32,0,,1662106.22733333,0,,,0,0,1,0,0,0,0
RI,2018-2019,28,28170ms,Providence,Times2 Academy (Middle),4400900,4400900,40200400430100.0,,,,,195.883333333333,ADM,13736.63,0,,2690776.87316666,0,,,0,0,1,0,0,0,0
RI,2018-2019,28,28197,Providence,Times2 Elementary School,4400900,4400900,40200400430100.0,440090000528.0,,KG-06,2.0,NRD,ADM,NRD,NRD,NRD,NRD,NRD,NRD,,0,0,1,0,0,1,0
RI,2018-2019,28,28198,Providence,Times2 Middle/High School,4400900,4400900,40200400430100.0,440090000530.0,,07-12,4.0,NRD,ADM,NRD,NRD,NRD,NRD,NRD,NRD,,0,0,1,0,0,1,0
RI,2018-2019,28,28151,Providence,Vartan Gregorian Elementary School,4400900,4400900,40200400430100.0,440090000221.0,351.0,KG-05,2.0,353.988888888888,ADM,15842.16,2638.56,22766.977295205,5607948.61599999,934020.922666666,8059256.99608821,21550.6525,0,0,1,0,0,0,0
RI,2018-2019,28,28130,Providence,Veazie Street School,4400900,4400900,40200400430100.0,440090000013.0,529.0,KG-05,2.0,535.488888888888,ADM,12168.37,1236.54,17691.157295205,6516026.93088889,662153.430666666,9473418.16316793,16474.8325,0,0,1,0,0,0,0
RI,2018-2019,28,28127,Providence,Webster Avenue School,4400900,4400900,40200400430100.0,440090000247.0,307.0,KG-05,2.0,309.422222222222,ADM,13423.12,1936.08,19645.457295205,4153411.61955555,599066.176,6078741.05285412,18429.1325,0,0,1,0,0,0,0
RI,2018-2019,28,28194,Providence,West Broadway Middle School,4400900,4400900,40200400430100.0,440090000491.0,468.0,05-08,3.0,471.794444444444,ADM,14499.17,423.51,19208.937295205,6840627.85505555,199809.665166666,9062669.89955945,17992.6125,0,0,1,0,0,0,0
RI,2018-2019,28,28189,Providence,"William B. Cooley, Sr. High School and the Providence Academy of International Studies High School",4400900,4400900,40200400430100.0,440090000209.0,416.0,09-12,4.0,416.877777777777,ADM,21631.62,566.55,26484.427295205,9017741.67533333,236182.104999999,11040769.1965422,25268.1025,0,0,1,0,0,0,0
RI,2018-2019,28,28153,Providence,William D'Abate Elementary School,4400900,4400900,40200400430100.0,440090000248.0,400.0,KG-05,2.0,406.133333333333,ADM,10740.7,983.26,16010.217295205,4362156.29333333,399334.661333333,6502282.91749262,14793.8925,0,0,1,0,0,0,0
RI,2018-2019,50,28702,R.I. Sch for the Deaf,Rhode Island School for the Deaf,4400001,4400001,,440000100380.0,77.0,PK-12,4.0,65.0274725274725,ADM,84391.6442110656,1908.2634477459,109842.443517046,5487775.3254833,124089.548923476,7142776.47815516,128183.0087,0,0,1,0,0,1,0
RI,2018-2019,50,28702el,R.I. Sch for the Deaf,Rhode Island School for the Deaf (Elem),4400001,4400001,,,,,,26.0384615384615,ADM,80092.59,1598.53,,2085487.82423076,41623.2619230769,,,0,0,1,0,0,0,0
RI,2018-2019,50,28702hs,R.I. Sch for the Deaf,Rhode Island School for the Deaf (High),4400001,4400001,,,,,,21,ADM,87588.55,3099.27,,1839359.55,65084.67,,,0,0,1,0,0,0,0
RI,2018-2019,50,28702ms,R.I. Sch for the Deaf,Rhode Island School for the Deaf (Middle),4400001,4400001,,,,,,12.9890109890109,ADM,90316.28,328.15,,1173119.15340659,4262.34395604395,,,0,0,1,0,0,0,0
RI,2018-2019,63,28607,Rhode Island Nurses Institute Middle College,RI Nurses Institute Middle College Charter High School,4400019,4400019,,440001900479.0,272.0,09-12,4.0,269.215469613259,ADM,12581.08,1614.42,15666.42,3387021.36044198,434626.838453038,4217642.61745856,,0,0,1,0,0,1,1
RI,2018-2019,79,39602,RISE Prep Mayoral Academy,RISE Prep Mayoral Academy,4400029,4400029,,440002900494.0,220.0,KG-04,2.0,219.027777777777,ADM,9479.48,533.97,12697.62,2076269.43888888,116954.2625,2781131.49166666,13347.02231,0,0,1,0,0,0,0
RI,2018-2019,30,30103,Scituate,Clayville Elementary School,4400960,4400960,40300401030100.0,440096000252.0,141.0,PK-05,2.0,127.016666666666,ADM,16348.65,10.13,18860.72,2076551.02749999,1286.67883333333,2395625.78533333,18766.56264,0,0,1,0,0,0,0
RI,2018-2019,30,30102,Scituate,Hope Elementary School,4400960,4400960,40300401030100.0,440096000253.0,174.0,KG-05,2.0,174.033333333333,ADM,16528.62,1468.24,20498.8,2876530.834,255522.701333333,3567474.49333333,20404.64264,0,0,1,0,0,0,0
RI,2018-2019,30,30106,Scituate,North Scituate Elementary School,4400960,4400960,40300401030100.0,440096000254.0,210.0,KG-05,2.0,209.35,ADM,14232.55,7.06,16741.54,2979584.3425,1478.011,3504841.399,16647.38264,0,0,1,0,0,0,0
