state,year,distid_stateassigned,schoolid_stateassigned,distname,schoolname,ncesdistid_admin,ncesdistid_geo,census_id,ncesid,ncesenroll,gradespan,level,enroll_raw_NC,enrollmetric,pp_stloc_raw_NC,pp_fed_raw_NC,pp_total_raw_NC,pp_centshare_stloc_raw_NC,pp_centshare_fed_raw_NC,pp_centshare_raw_NC,schoolstloc_raw_NC,schoolfed_raw_NC,schooltot_raw_NC,pp_total_norm_NERDS,ppsalariesst_raw_NC,ppempbenefitsst_raw_NC,pppurchservicesst_raw_NC,ppsupmaterialsst_raw_NC,ppinstrequipst_raw_NC,ppotherst_raw_NC,ppcentst_raw_NC,pptotst_raw_NC,ppsalariesfed_raw_NC,ppempbenefitsfed_raw_NC,pppurchservicesfed_raw_NC,ppsupmaterialsfed_raw_NC,ppinstrequipfed_raw_NC,ppotherfed_raw_NC,ppsalariesloc_raw_NC,ppempbenefitsloc_raw_NC,pppurchservicesloc_raw_NC,ppsupmaterialsloc_raw_NC,ppinstrequiploc_raw_NC,ppotherloc_raw_NC,ppcentloc_raw_NC,pptotloc_raw_NC,pptotsalaries_raw_NC,pptotempbenefits_raw_NC,pptotpurchservices_raw_NC,pptotsupmaterials_raw_NC,pptotinstrequipfed_raw_NC,pptotother_raw_NC,pp_site_stloc_difference_NC,pp_site_fed_difference_NC,pp_site_difference_NC,countenroll,noaudit,nositecen,adfinvars,distflex,flag_nerds,flag_f33
NC,2018-2019,250,250348,Craven County Schools,J T Barber Elementary,3703310,3703310,34102502530100.0,370331000387,298.0,PK-05,2.0,290,ADM,10431.71,2197.6,12629.31,0,0,0,3025195.9,637304,3662499.9,12904.60392,5056.77,1885.81,282.77,132.08,56.08,0,0,7413.51,1074.91,416.39,87.92,563.62,54.76,0,842.19,301.87,752.41,1123.71,-1.98,0,0,3018.2,6973.87,2604.07,1123.1,1819.41,108.86,0,10431.71,2197.6,12629.31,0,0,0,0,0,0,0
NC,2018-2019,250,250350,Craven County Schools,James W Smith Elementary,3703310,3703310,34102502530100.0,370331002211,449.0,PK-05,2.0,406,ADM,10859.67,1671.06,12530.73,0,0,0,4409026.02,678450.36,5087476.38,12806.02392,4414.72,1593.88,238.73,129.3,56.08,0,0,6432.71,703.37,278.2,87.2,564.3,37.99,0,949.97,313.43,601.81,2562.8,-1.05,0,0,4426.96,6068.06,2185.51,927.74,3256.4,93.02,0,10859.67,1671.06,12530.73,0,0,0,0,0,0,0
NC,2018-2019,250,250356,Craven County Schools,New Bern High,3703310,3703310,34102502530100.0,370331000388,1673.0,09-12,4.0,1605,ADM,7568.89,924.39,8493.28,0,0,0,12148068.45,1483645.95,13631714.4,8768.573923,3797.95,1398.09,262.63,134.56,56.08,0,0,5649.31,442.34,170.57,79.91,205.88,25.69,0,876.2,287.78,405.18,350.57,-0.15,0,0,1919.58,5116.49,1856.44,747.72,691.01,81.62,0,7568.89,924.39,8493.28,0,0,0,0,0,0,0
NC,2018-2019,250,250360,Craven County Schools,Oaks Road Academy,3703310,3703310,34102502530100.0,370331002177,396.0,KG-05,2.0,401,ADM,9678.42,2051.53,11729.95,0,0,0,3881046.42,822663.53,4703709.95,12005.24392,4847.42,1800.51,526.05,408.98,60.46,0,0,7643.42,800.09,290.93,366.26,555.07,39.18,0,680.22,231.94,524.6,599.36,-1.12,0,0,2035,6327.73,2323.38,1416.91,1563.41,98.52,0,9678.42,2051.53,11729.95,0,0,0,0,0,0,0
NC,2018-2019,250,250362,Craven County Schools,Roger Bell New Tech Academy,3703310,3703310,34102502530100.0,370331002178,342.0,KG-05,2.0,342,ADM,10263.7,1590.26,11853.96,0,0,0,3510185.4,543868.92,4054054.32,12129.25392,4880.27,1730.95,360.75,383.91,74,0,0,7429.88,547.22,234.95,253.28,517.61,37.2,0,932.71,279.16,522.19,1100.77,-1.01,0,0,2833.82,6360.2,2245.06,1136.22,2002.29,110.19,0,10263.7,1590.26,11853.96,0,0,0,0,0,0,0
NC,2018-2019,250,250364,Craven County Schools,Trent Park Elementary,3703310,3703310,34102502530100.0,370331002179,434.0,KG-05,2.0,424,ADM,9041.61,1531.63,10573.24,0,0,0,3833642.64,649411.12,4483053.76,10848.53392,4630.85,1744.99,159.76,129.39,56.08,0,0,6721.07,619.07,231.1,79.2,565.85,36.41,0,759.62,250.56,567.6,743.72,-0.96,0,0,2320.54,6009.54,2226.65,806.56,1438.96,91.53,0,9041.61,1531.63,10573.24,0,0,0,0,0,0,0
NC,2018-2019,250,250368,Craven County Schools,Tucker Creek Middle,3703310,3703310,34102502530100.0,370331002084,547.0,06-08,3.0,537,ADM,9237.19999999999,666.58,9903.78,0,0,0,4960376.39999999,357953.46,5318329.86,10179.07392,3813.27,1354.11,233.12,132.9,56.08,0,0,5589.48,256.51,109,79.88,213.08,8.11,0,978.07,327.7,445.37,1895.97,0.61,0,0,3647.72,5047.85,1790.81,758.37,2241.95,64.8,0,9237.19999999999,666.58,9903.78,0,0,0,0,0,0,0
NC,2018-2019,250,250320,Craven County Schools,Vanceboro-Farm Life Elementary,3703310,3703310,34102502530100.0,370331002173,619.0,PK-05,2.0,583,ADM,8430.2,1737.39,10167.59,0,0,0,4914806.6,1012898.37,5927704.97,10442.88392,4614.53,1744.92,244.01,128.77,56.08,0,0,6788.31,747.89,289.63,147.03,533.16,19.68,0,652.07,213.83,491.31,284.71,-0.03,0,0,1641.89,6014.49,2248.38,882.35,946.64,75.73,0,8430.2,1737.39,10167.59,0,0,0,0,0,0,0
NC,2018-2019,250,250378,Craven County Schools,W Jesse Gurganus Elementary,3703310,3703310,34102502530100.0,370331002312,389.0,KG-05,2.0,381,ADM,9133.2,976.99,10110.19,0,0,0,3479749.2,372233.19,3851982.39,10385.48392,4751.61,1735.26,156.63,130.6,56.08,0,0,6830.18,364.18,141.92,80.49,358.94,31.46,0,790.54,262.36,523.74,727.07,-0.69,0,0,2303.02,5906.33,2139.54,760.86,1216.61,86.85,0,9133.2,976.99,10110.19,0,0,0,0,0,0,0
NC,2018-2019,250,250372,Craven County Schools,West Craven High,3703310,3703310,34102502530100.0,370331002180,942.0,09-12,4.0,863,ADM,8806.93,1151.5,9958.43,0,0,0,7600380.59,993744.5,8594125.09,10233.72392,4537.16,1610.28,307.49,160.03,56.08,0,0,6671.04,512.53,200.47,92,334.15,12.35,0,1006.34,329.92,466.07,328.73,4.83,0,0,2135.89,6056.03,2140.67,865.56,822.91,73.26,0,8806.93,1151.5,9958.43,0,0,0,0,0,0,0
