state,year,distid_stateassigned,schoolid_stateassigned,distname,schoolname,ncesdistid_admin,ncesdistid_geo,census_id,ncesid,ncesenroll,gradespan,level,enroll_raw_TX,enrollmetric,pp_stloc_raw_TX,pp_fed_raw_TX,pp_total_raw_TX,pp_site_stloc_raw_TX,pp_site_fed_raw_TX,pp_site_raw_TX,pp_centshare_stloc_raw_TX,pp_centshare_fed_raw_TX,pp_centshare_raw_TX,schoolstloc_raw_TX,schoolfed_raw_TX,schooltot_raw_TX,pp_total_norm_NERDS,countenroll,noaudit,nositecen,adfinvars,distflex,flag_nerds,flag_f33
TX,2018-2019,221901,221901112,ABILENE ISD,JACKSON EL,4807440,4807440,44522101100000.0,480744000022.0,513.0,PK-05,2.0,512,October Count Day,6940.73235220516,958.564223735895,7899.29657594106,5443.4609375,607.806640625,6051.267578125,1497.27141470516,350.757583110895,1848.02899781606,3553654.96432904,490784.882552778,4044439.84688182,8082.498794,1,0,0,0,1,0,0
TX,2018-2019,221901,221901113,ABILENE ISD,JOHNSTON EL,4807440,4807440,44522101100000.0,480744000024.0,655.0,PK-05,2.0,653,October Count Day,6539.73695834988,1300.8678434478,7840.60480179768,5042.46554364471,950.110260336906,5992.57580398162,1497.27141470516,350.757583110895,1848.02899781606,4270448.23380247,849466.701771414,5119914.93557389,8023.782148,1,0,0,0,1,0,0
TX,2018-2019,221901,221901008,ABILENE ISD,JUVENILE DETENTION CENTER,4807440,4807440,44522101100000.0,480744009497.0,7.0,08-11,4.0,7,October Count Day,27318.2714147051,350.757583110895,27669.028997816,25821,0,25821,1497.27141470516,350.757583110895,1848.02899781606,191227.899902936,2455.30308177626,193683.202984712,27860.609,1,0,0,0,1,0,0
TX,2018-2019,221901,221901116,ABILENE ISD,LEE EL,4807440,4807440,44522101100000.0,480744000026.0,481.0,PK-05,2.0,481,October Count Day,7157.21320264695,1497.77005712336,8654.98325977032,5659.94178794178,1147.01247401247,6806.95426195426,1497.27141470516,350.757583110895,1848.02899781606,3442619.55047318,720427.39747634,4163046.94794952,8838.505714,1,0,0,0,1,0,0
TX,2018-2019,221901,221901156,ABILENE ISD,LONG EARLY LEARNING CENTER,4807440,4807440,44522101100000.0,480744013477.0,786.0,PK-PK,1.0,785,October Count Day,5523.28287967332,5234.04802897076,10757.330908644,4026.01146496815,4883.29044585987,8909.30191082802,1497.27141470516,350.757583110895,1848.02899781606,4335777.06054355,4108727.70274205,8444504.76328561,10941.74427,1,0,0,0,1,0,0
TX,2018-2019,221901,221901044,ABILENE ISD,MADISON MIDDLE,4807440,4807440,44522101100000.0,480744000030.0,911.0,06-08,3.0,911,October Count Day,7096.67865949111,1085.59622196929,8182.27488146041,5599.40724478594,734.838638858397,6334.24588364434,1497.27141470516,350.757583110895,1848.02899781606,6465074.2587964,988978.158214025,7454052.41701043,8365.597017,1,0,0,0,1,0,0
TX,2018-2019,221901,221901045,ABILENE ISD,MANN MIDDLE,4807440,4807440,44522101100000.0,480744000031.0,882.0,06-08,3.0,882,October Count Day,7452.89839883215,958.349419845589,8411.24781867774,5955.62698412698,607.591836734693,6563.21882086167,1497.27141470516,350.757583110895,1848.02899781606,6573456.38776995,845264.188303809,7418720.57607376,8594.666985,1,0,0,0,1,0,0
TX,2018-2019,221901,221901155,ABILENE ISD,MARTINEZ EL,4807440,4807440,44522101100000.0,480744012705.0,539.0,KG-05,2.0,538,October Count Day,7319.82903552301,2101.34494370569,9421.1739792287,5822.55762081784,1750.58736059479,7573.14498141263,1497.27141470516,350.757583110895,1848.02899781606,3938068.02111138,1130523.57971366,5068591.60082504,9605.02112,1,0,0,0,1,0,0
TX,2018-2019,221901,221901142,ABILENE ISD,OCEANS BEHAVIORAL HEALTH,4807440,4807440,44522101100000.0,480744011037.0,4.0,07-11,4.0,4,October Count Day,19064.7714147051,9304.50758311089,28369.278997816,17567.5,8953.75,26521.25,1497.27141470516,350.757583110895,1848.02899781606,76259.0856588206,37218.0303324435,113477.115991264,28561.15574,1,0,0,0,1,0,0
TX,2018-2019,221901,221901152,ABILENE ISD,ORTIZ EL,4807440,4807440,44522101100000.0,480744002354.0,588.0,KG-05,2.0,588,October Count Day,7340.58263919496,1776.56370555987,9117.14634475484,5843.31122448979,1425.80612244897,7269.11734693877,1497.27141470516,350.757583110895,1848.02899781606,4316262.59184663,1044619.4588692,5360882.05071584,9300.864649,1,0,0,0,1,0,0
