state,year,distid_stateassigned,schoolid_stateassigned,distname,schoolname,ncesdistid_admin,ncesdistid_geo,census_id,ncesid,ncesenroll,gradespan,level,enroll_raw_TN,enrollmetric,pp_stloc_raw_TN,pp_fed_raw_TN,pp_total_raw_TN,pp_site_stloc_raw_TN,pp_site_fed_raw_TN,pp_site_raw_TN,pp_centshare_stloc_raw_TN,pp_centshare_fed_raw_TN,pp_centshare_raw_TN,schoolstloc_raw_TN,schoolfed_raw_TN,schooltot_raw_TN,pp_total_norm_NERDS,ppnutritionsite_raw_TN,ppnutritioncent_raw_TN,countenroll,noaudit,nositecent,adfinvars,distflex,flag_nerds,flag_f33
TN,2018-2019,430,25,Humphreys County,Waverly Elementary,4701980,4701980,43104304330100.0,470198000643,545.0,PK-03,2.0,471,ADA,7775.9091796875,652.434326171875,9127.32404542862,6126.62208067941,8.28874734607219,6480.008492569,1649.28701559792,644.145580589255,2647.31555285962,3662453.25,307296.5625,4298969.62539688,9301.866078,345.097664543524,353.882956672444,0,0,0,0,0,0,0
TN,2018-2019,430,30,Humphreys County,Waverly Jr High School,4701980,4701980,43104304330100.0,470198000644,591.0,04-08,3.0,591,ADA,5908.57958984375,650.891784667969,7223.92468991546,4259.29272419628,6.74619289340102,4576.60913705584,1649.28701559792,644.145580589255,2647.31555285962,3491970.75,384677.03125,4269339.49174003,7457.292679,310.570219966159,353.882956672444,0,0,0,0,0,0,0
TN,2018-2019,93,10,Huntingdon,Huntingdon High School,4702010,4702010,43500900300000.0,470201000646,366.0,09-12,4.0,366,ADA,8516.06640625,246.960571289062,9338.72131147541,6825.62021857924,79.3087431693989,7480.62295081967,1690.44652615144,167.651834504294,1858.09836065574,3116880.5,90387.5703125,3417972,9106.59719,575.693989071038,0,0,0,0,0,0,0,0
TN,2018-2019,93,5,Huntingdon,Huntingdon Middle School,4702010,4702010,43500900300000.0,470201000645,528.0,04-08,3.0,528,ADA,7117.0751953125,421.581756591797,8130.24230004968,5426.62878787879,253.929924242424,6272.14393939394,1690.44652615144,167.651834504294,1858.09836065574,3757815.75,222595.171875,4292767.93442623,7935.467111,591.585227272727,0,0,0,0,0,0,0,0
TN,2018-2019,93,15,Huntingdon,Huntingdon Primary,4702010,4702010,43500900300000.0,470201000647,417.0,PK-03,2.0,387,ADA,6858.45703125,1397.54333496094,8904.17846401491,5168.01033591731,1229.89147286822,7046.08010335917,1690.44652615144,167.651834504294,1858.09836065574,2654222.75,540849.25,3445917.06557377,8685.484209,648.178294573643,0,0,0,0,0,0,0,0
TN,2018-2019,93,7001,Huntingdon,Northwest Head Start - Huntingdon,4702010,4702010,43500900300000.0,470201002170,36.0,PK-PK,1.0,NRD,ADA,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,,NRD,NRD,0,0,0,0,0,1,0
TN,2018-2019,440,10,Jackson County,Dodson Branch Elementary,4702070,4702070,43104404430100.0,470207000662,268.0,PK-08,3.0,253,ADA,8659.5439453125,696.109130859375,10051.0837219093,5695.40711462451,366.857707509881,6751.90513833992,2964.1365651558,329.251416430595,3299.1785835694,2190864.5,176115.609375,2542924.18164306,10066.35493,689.640316205534,5.79060198300289,0,0,0,0,0,0,0
TN,2018-2019,440,25,Jackson County,Gainesboro Elementary,4702070,4702070,43104404430100.0,470207000665,345.0,PK-03,2.0,311,ADA,8592.419921875,1282.76904296875,10667.0917668491,5628.28295819936,953.51768488746,7367.91318327974,2964.1365651558,329.251416430595,3299.1785835694,2672242.5,398941.1875,3317465.53949008,10663.3248,786.112540192926,5.79060198300289,0,0,0,0,0,0,0
TN,2018-2019,440,5,Jackson County,Jackson County High School,4702070,4702070,43104404430100.0,470207000661,444.0,09-12,4.0,444,ADA,8552.2421875,615.305480957031,9836.24615113697,5588.10585585586,286.054054054054,6537.06756756757,2964.1365651558,329.251416430595,3299.1785835694,3797195.75,273195.625,4367293.29110481,9858.157076,662.907657657658,5.79060198300289,0,0,0,0,0,0,0
TN,2018-2019,440,50,Jackson County,Jackson County Middle School,4702070,4702070,43104404430100.0,470207001829,421.0,04-08,3.0,404,ADA,8851.0849609375,692.320739746094,10243.2280885199,5886.94801980198,363.069306930693,6944.0495049505,2964.1365651558,329.251416430595,3299.1785835694,3575838.25,279697.5625,4138264.14776204,10252.56094,694.032178217822,5.79060198300289,0,0,0,0,0,0,0
TN,2018-2019,450,10,Jefferson County,Dandridge Elementary,4702100,4702100,43104504530100.0,470210000671,574.0,PK-05,2.0,497,ADA,8016.9638671875,1052.99926757812,9641.49058625157,5776.20523138833,882.008048289738,7229.74044265594,2240.75875933372,170.991240666284,2411.75014359563,3984431,523340.65625,4791820.82136703,9298.373983,571.527162977867,0.000143595634692705,0,0,0,0,0,0,0
TN,2018-2019,450,7001,Jefferson County,Dandridge Head Start,4702100,4702100,43104504530100.0,470210002167,0.0,PK-PK,1.0,NRD,ADA,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,,NRD,NRD,0,0,0,0,0,1,0
TN,2018-2019,450,20,Jefferson County,Jefferson Co High School,4702100,4702100,43104504530100.0,470210000675,2084.0,09-12,4.0,2084,ADA,7276.134765625,316.60400390625,8017.95023956492,5035.37619961612,145.612763915547,5606.20009596929,2240.75875933372,170.991240666284,2411.75014359563,15163465,659802.75,16709408.2992533,7725.010344,425.21113243762,0.000143595634692705,0,0,0,0,0,0,0
TN,2018-2019,450,13,Jefferson County,Jefferson County Adult High School,4702100,4702100,43104504530100.0,470210002105,0.0,11-12,4.0,NRD,ADA,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,,NRD,NRD,0,0,0,0,0,1,0
TN,2018-2019,450,15,Jefferson County,Jefferson Elementary,4702100,4702100,43104504530100.0,470210000676,467.0,PK-05,2.0,419,ADA,9124.0927734375,1457.81701660156,11227.5520529035,6883.33412887828,1286.82577565632,8815.80190930788,2240.75875933372,170.991240666284,2411.75014359563,3822995,610825.3125,4704344.31016657,10835.41705,645.64200477327,0.000143595634692705,0,0,0,0,0,0,0
TN,2018-2019,450,17,Jefferson County,Jefferson Middle School,4702100,4702100,43104504530100.0,470210000677,660.0,06-08,3.0,660,ADA,6896.57861328125,332.056396484375,7715.85317389866,4655.8196969697,161.065151515152,5304.10303030303,2240.75875933372,170.991240666284,2411.75014359563,4551742,219157.21875,5092463.09477312,7432.24981,487.218181818182,0.000143595634692705,0,0,0,0,0,0,0
TN,2018-2019,450,22,Jefferson County,Maury Middle School,4702100,4702100,43104504530100.0,470210000681,618.0,06-08,3.0,618,ADA,7257.59716796875,358.039794921875,8041.78250605518,5016.83818770227,187.04854368932,5630.03236245955,2240.75875933372,170.991240666284,2411.75014359563,4485195,221268.59375,4969821.5887421,7748.106057,426.145631067961,0.000143595634692705,0,0,0,0,0,0,0
TN,2018-2019,450,70,Jefferson County,Mount Horeb Elementary School,4702100,4702100,43104504530100.0,470210002313,565.0,PK-05,2.0,543,ADA,8154.76220703125,845.691040039062,9576.39286919416,5914.00368324125,674.699815837937,7164.64272559853,2240.75875933372,170.991240666284,2411.75014359563,4428036,459210.25,5199981.32797243,9235.288158,575.939226519337,0.000143595634692705,0,0,0,0,0,0,0
TN,2018-2019,450,30,Jefferson County,New Market Elementary,4702100,4702100,43104504530100.0,470210000682,305.0,PK-05,2.0,285,ADA,9342.5869140625,683.777221679688,10750.7396172798,7101.82807017544,512.785964912281,8338.98947368421,2240.75875933372,170.991240666284,2411.75014359563,2662637.25,194876.5,3063960.79092476,10373.34086,724.375438596491,0.000143595634692705,0,0,0,0,0,0,0
TN,2018-2019,450,35,Jefferson County,Piedmont Elementary,4702100,4702100,43104504530100.0,470210000684,410.0,PK-05,2.0,388,ADA,7586.77685546875,827.779907226562,8964.53880338945,5346.01804123711,656.788659793814,6552.78865979381,2240.75875933372,170.991240666284,2411.75014359563,2943669.5,321178.59375,3478241.05571511,8642.343892,549.981958762887,0.000143595634692705,0,0,0,0,0,0,0
TN,2018-2019,450,40,Jefferson County,Rush Strong Elementary,4702100,4702100,43104504530100.0,470210000685,466.0,PK-08,3.0,439,ADA,9820.1640625,771.52880859375,11158.3651777642,7579.40546697039,600.537585421412,8746.61503416856,2240.75875933372,170.991240666284,2411.75014359563,4311052,338701.15625,4898522.31303848,10768.36845,566.671981776765,0.000143595634692705,0,0,0,0,0,0,0
