state,year,distid_stateassigned,schoolid_stateassigned,distname,schoolname,ncesdistid_admin,ncesdistid_geo,census_id,ncesid,ncesenroll,gradespan,level,enroll_raw_UT,enrollmetric,pp_stloc_raw_UT,pp_fed_raw_UT,pp_total_raw_UT,pp_site_stloc_raw_UT,pp_site_fed_raw_UT,pp_site_raw_UT,pp_centshare_stloc_raw_UT,pp_centshare_fed_raw_UT,pp_centshare_raw_UT,schoolstloc_raw_UT,schoolfed_raw_UT,schooltot_raw_UT,pp_total_norm_NERDS,distexclu_raw_UT,disttotwexclu_raw_UT,schtype_raw_UT,Title_1_raw_UT,NESS_raw_UT,countenroll,noaudit,nositecen,adfinvars,distflex,flag_nerds,flag_f33
UT,2018-2019,19,130,Nebo District,Hobble Creek School,4900630,4900630,45502500200000.0,490063000956.0,589.0,PK-06,2.0,557,ADM,6853.4098968988,369.294711381294,7222.7046082801,4467.10147012296,1.02486739947935,4468.12633752244,2386.30842677584,368.269843981815,2754.57827075766,3817349.31257263,205697.154239381,4023046.46681201,6974.150703,61343912.8,318555493.85,District,N,N,0,0,0,0,0,0,0
UT,2018-2019,19,720,Nebo District,Landmark High,4900630,4900630,45502500200000.0,490063000387.0,293.0,07-12,4.0,272.661111111111,ADM,18269.093249857,424.939211083834,18694.0324609408,15882.7848230811,56.6693671020192,15939.4541901831,2386.30842677584,368.269843981815,2754.57827075766,4981271.26449851,115864.397448797,5097135.6619473,18445.47856,61343912.8,318555493.85,District,N,N,0,0,0,0,0,0,0
UT,2018-2019,19,136,Nebo District,Larsen School,4900630,4900630,45502500200000.0,490063000690.0,467.0,PK-06,2.0,454.733333333333,ADM,7365.10857646786,470.340285112258,7835.44886158012,4978.80014969201,102.070441130442,5080.87059082246,2386.30842677584,368.269843981815,2754.57827075766,3349160.37333915,213879.405650047,3563039.7789892,7586.894957,61343912.8,318555493.85,District,Y,N,0,0,0,0,0,0,0
UT,2018-2019,19,340,Nebo District,Maple Grove Middle,4900630,4900630,45502500200000.0,490063001560.0,,,0.0,NRD,ADM,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,,61343912.8,318555493.85,NRD,NRD,NRD,0,0,0,0,0,1,0
UT,2018-2019,19,702,Nebo District,Maple Mountain High,4900630,4900630,45502500200000.0,490063001159.0,1597.0,10-12,4.0,1564.25555555555,ADM,7733.71328237921,502.280892287294,8235.99417466651,5347.40485560337,134.011048305479,5481.41590390885,2386.30842677584,368.269843981815,2754.57827075766,12097503.9670354,785695.676209802,12883199.6432452,7987.44027,61343912.8,318555493.85,District,N,N,0,0,0,0,0,0,0
UT,2018-2019,19,138,Nebo District,Maple Ridge School,4900630,4900630,45502500200000.0,490063001479.0,717.0,PK-06,2.0,694.883333333333,ADM,6590.13964321619,370.532787232543,6960.67243044873,4203.83121644034,2.26294325072794,4206.09415969107,2386.30842677584,368.269843981815,2754.57827075766,4579378.20241021,257477.05830144,4836855.26071165,6712.118526,61343912.8,318555493.85,District,N,N,0,0,0,0,0,0,0
UT,2018-2019,19,404,Nebo District,Mapleton Junior High,4900630,4900630,45502500200000.0,490063001127.0,1213.0,07-09,3.0,1207.02222222222,ADM,6693.75065836742,571.475759345097,7265.22641771251,4307.44223159157,203.205915363282,4510.64814695485,2386.30842677584,368.269843981815,2754.57827075766,8079505.7946641,689783.940990851,8769289.73565495,7016.672513,61343912.8,318555493.85,District,N,N,0,0,0,0,0,0,0
UT,2018-2019,19,140,Nebo District,Mapleton School,4900630,4900630,45502500200000.0,490063000386.0,664.0,PK-06,2.0,667.611111111111,ADM,6435.81557169311,369.332102409809,6805.14767410292,4049.50714491726,1.06225842799367,4050.56940334526,2386.30842677584,368.269843981815,2754.57827075766,4296621.98472423,246570.215258815,4543192.19998304,6556.593769,61343912.8,318555493.85,District,N,N,0,0,0,0,0,0,0
UT,2018-2019,19,141,Nebo District,Meadow Brook School,4900630,4900630,45502500200000.0,490063001500.0,710.0,PK-06,2.0,667.805555555555,ADM,6886.52769662691,613.13971518145,7499.66741180836,4500.21926985106,244.869871199635,4745.0891410507,2386.30842677584,368.269843981815,2754.57827075766,4598861.45429465,409458.108129923,5008319.56242458,7251.113507,61343912.8,318555493.85,District,N,N,0,0,0,0,0,0,0
UT,2018-2019,19,142,Nebo District,Mt. Loafer School,4900630,4900630,45502500200000.0,490063000431.0,747.0,PK-06,2.0,754.35,ADM,6678.94780768916,535.413508074133,7214.36131576329,4292.63938091331,167.143664092317,4459.78304500563,2386.30842677584,368.269843981815,2754.57827075766,5038264.27873031,403889.179815722,5442153.45854604,6965.807411,61343912.8,318555493.85,District,N,N,0,0,0,0,0,0,0
