state,year,distid_stateassigned,schoolid_stateassigned,distname,schoolname,ncesdistid_admin,ncesdistid_geo,census_id,ncesid,ncesenroll,gradespan,level,enroll_raw_LA,enrollmetric,pp_stloc_raw_LA,pp_fed_raw_LA,pp_total_raw_LA,pp_site_stloc_raw_LA,pp_site_fed_raw_LA,pp_site_raw_LA,pp_centshare_stloc_raw_LA,pp_centshare_fed_raw_LA,pp_centshare_raw_LA,schoolstloc_raw_LA,schoolfed_raw_LA,schooltot_raw_LA,pp_total_norm_NERDS,percentsiteexp_raw_LA,percentcentexp_raw_LA,percentspendinstruction_raw_LA,percentspendinstrsupport_raw_LA,percentspendtransp_raw_LA,percentspendadmin_raw_LA,percentspendothersupport_raw_LA,countenroll,noaudit,nositecen,adfinvars,distflex,flag_nerds,flag_f33
LA,2018-2019,050,050012,St. Martin Parish,Early Learning Center,2201590,2201590,19505000100000.0,220159001645.0,358.0,PK-01,1.0,356,ADM,9749,951,10700,8443,886,9329,1306,65,1371,3470644,338556,3809200,10832.30396,0.87,0.13,0.54,0.13,0.05,0.04,0.23,0,1,0,0,0,0,0
LA,2018-2019,050,050009,St. Martin Parish,Parks Middle School,2201590,2201590,19505000100000.0,220159001224.0,371.0,04-08,3.0,365,ADM,8596,831,9427,7290,766,8056,1306,65,1371,3137540,303315,3440855,9559.303959,0.85,0.15,0.6,0.08,0.02,0.06,0.24,0,1,0,0,0,0,0
LA,2018-2019,050,050010,St. Martin Parish,Parks Primary School,2201590,2201590,19505000100000.0,220159001225.0,414.0,PK-04,2.0,416,ADM,9296,898,10194,7990,833,8823,1306,65,1371,3867136,373568,4240704,10326.30396,0.87,0.13,0.55,0.12,0.06,0.06,0.21,0,1,0,0,0,0,0
LA,2018-2019,050,050015,St. Martin Parish,St. Martinville Junior High School,2201590,2201590,19505000100000.0,220159001227.0,423.0,06-08,3.0,405,ADM,10894,996,11890,9588,931,10519,1306,65,1371,4412070,403380,4815450,12022.30396,0.88,0.12,0.55,0.11,0.07,0.07,0.2,0,1,0,0,0,0,0
LA,2018-2019,050,050016,St. Martin Parish,St. Martinville Primary School,2201590,2201590,19505000100000.0,220159001228.0,504.0,02-05,2.0,503,ADM,10336,1011,11347,9030,946,9976,1306,65,1371,5199008,508533,5707541,11479.30396,0.88,0.12,0.54,0.14,0.06,0.05,0.2,0,1,0,0,0,0,0
LA,2018-2019,050,050017,St. Martin Parish,St. Martinville Senior High School,2201590,2201590,19505000100000.0,220159001229.0,618.0,09-12,4.0,596,ADM,9500,888,10389,8194,823,9018,1306,65,1371,5662000,529248,6191844,10521.30396,0.87,0.13,0.56,0.1,0.05,0.08,0.21,0,1,0,0,0,0,0
LA,2018-2019,050,050018,St. Martin Parish,Stephensville Elementary School,2201590,2201590,19505000100000.0,220159001230.0,122.0,PK-08,3.0,128,ADM,12871,1104,13975,11565,1039,12604,1306,65,1371,1647488,141312,1788800,14107.30396,0.9,0.1,0.6,0.05,0.09,0.07,0.19,0,1,0,0,0,0,0
LA,2018-2019,050,050019,St. Martin Parish,Teche Elementary School,2201590,2201590,19505000100000.0,220159001231.0,638.0,03-05,2.0,629,ADM,8758,833,9590,7452,768,8219,1306,65,1371,5508782,523957,6032110,9722.303959,0.86,0.14,0.569999999999999,0.09,0.07,0.04,0.22,0,1,0,0,0,0,0
LA,2018-2019,051,051038,St. Mary Parish,B. Edward Boudreaux Middle School,2201620,2201620,19505100100000.0,220162001248.0,274.0,06-08,3.0,278,ADM,8492,714,9206,6875,602,7477,1617,112,1729,2360776,198492,2559268,9249.907322,0.81,0.19,0.45,0.14,0.05,0.12,0.24,0,1,0,0,0,0,0
LA,2018-2019,051,051003,St. Mary Parish,Bayou Vista Elementary School,2201620,2201620,19505100100000.0,220162001234.0,335.0,PK-05,2.0,342,ADM,10305,912,11217,8688,800,9488,1617,112,1729,3524310,311904,3836214,11260.90732,0.85,0.15,0.579999999999999,0.13,0.04,0.02,0.24,0,1,0,0,0,0,0
