state,year,distid_stateassigned,schoolid_stateassigned,distname,schoolname,ncesdistid_admin,ncesdistid_geo,census_id,ncesid,ncesenroll,gradespan,level,enroll_raw_PA,enrollmetric,pp_stloc_raw_PA,pp_fed_raw_PA,pp_total_raw_PA,schoolstloc_raw_PA,schoolfed_raw_PA,schooltot_raw_PA,pp_total_norm_NERDS,perlocal_raw_PA,nonperlocal_raw_PA,perstate_raw_PA,nonperstate_raw_PA,perfed_raw_PA,nonperfed_raw_PA,pp_personnel_raw_PA,pp_nonpersonnel_raw_PA,pp_perfed_raw_PA,pp_perstloc_raw_PA,pp_perstate_raw_PA,pp_perlocal_raw_PA,pp_nonperfed_raw_PA,pp_nonperstloc_raw_PA,pp_nonperstate_raw_PA,pp_nonperlocal_raw_PA,countenroll,noaudit,nositecen,adfinvars,distflex,flag_nerds,flag_f33
PA,2018-2019,124156703,6623,Oxford Area SD,Nottingham Sch,4218300,4218300,39501503900000.0,421830006623,517.0,03-04,2,513.85,ADM,17656.92,784.72,18441.64,9073005.68,403230.05,9476235.73,,3156044.78,2369415.68,2026294.76,1521250.46,156464.109999999,246765.94,5338803.65,4137432.08,304.49,10085.32,3943.36,6141.96,480.23,7571.6,2960.5,4611.1,0,0,1,0,1,1,1
PA,2018-2019,124156703,1420,Oxford Area SD,Oxford Area HS,4218300,4218300,39501503900000.0,421830001420,1279.0,09-12,4,1146.04,ADM,21510.69,214.46,21725.15,24652105.35,245775.18,24897880.53,,7106880.00999999,7906252.15,4562873.7,5076099.49,0,245775.18,11669753.71,13228126.82,0,10182.68,3981.43,6201.25,214.46,11328.01,4429.25,6898.76,0,0,1,0,1,1,1
PA,2018-2019,124156703,1418,Oxford Area SD,Penn's Grove Sch,4218300,4218300,39501503900000.0,421830001418,617.0,07-08,3,623.061,ADM,17419.19,175.65,17594.84,10853221.42,109438.12,10962659.54,,3611807.02,2997804.83,2318910.58,1924698.99,0,109438.12,5930717.6,5031941.94,0,9518.68,3721.8,5796.88,175.65,7900.51,3089.1,4811.41,0,0,1,0,1,1,1
PA,2018-2019,122098003,7063,Palisades SD,Durham-Nockamixon El Sch,4218330,4218330,39500970600000.0,421833007221,228.0,KG-05,2,231.418,ADM,19797.0799999999,445.45,20242.53,4581401.18999999,103086.25,4684487.43999999,20554.58519,3868185.18,696556.62,8047.88,8611.51,92560.21,10526.04,3968793.27,715694.17,399.97,16749.92,34.78,16715.14,45.48,3047.16,37.21,3009.95,0,0,1,0,1,0,0
PA,2018-2019,122098003,1094,Palisades SD,Palisades HS,4218330,4218330,39500970600000.0,421833001094,589.0,09-12,4,539.092,ADM,23101.15,6.42,23107.57,12453644.35,3461.89,12457106.24,23419.62519,10246923.42,2177685.59,4322,24713.34,3227.49,234.4,10254472.91,2202633.32999999,5.99,19015.77,8.02,19007.75,0.43,4085.38,45.84,4039.54,0,0,1,0,1,0,0
PA,2018-2019,122098003,7312,Palisades SD,Palisades MS,4218330,4218330,39500970600000.0,421833010005,329.0,06-08,3,332.103,ADM,25034.2,324.8,25359,8313932.52999999,107865.79,8421798.31999999,25671.05519,7133742.16,1160167.54,3123.81,16899.02,107241.6,624.19,7244107.56999999,1177690.75,322.92,21489.92,9.41,21480.51,1.88,3544.28,50.88,3493.4,0,0,1,0,1,0,0
PA,2018-2019,122098003,1091,Palisades SD,Springfield El Sch,4218330,4218330,39500970600000.0,421833001091,208.0,KG-05,2,202.935,ADM,21383.35,298.33,21681.68,4339430.46,60541.55,4399972.01,21993.73519,3682876.12,648123.42,7932.83,498.09,53539.03,7002.52,3744347.98,655624.03,263.82,18187.15,39.09,18148.06,34.51,3196.2,2.45,3193.75,0,0,1,0,1,0,0
PA,2018-2019,122098003,6456,Palisades SD,Tinicum El Sch,4218330,4218330,39500970600000.0,421833006456,178.0,KG-05,2,174.321,ADM,25848.23,300.409999999999,26148.64,4505888.2,52367.18,4558255.38,26460.69519,3895227.41,600129.23,7747.89,2783.67,42599.96,9767.21999999999,3945575.26,612680.12,244.38,22389.59,44.45,22345.14,56.03,3458.64,15.97,3442.67,0,0,1,0,1,0,0
PA,2018-2019,121136503,4734,Palmerton Area SD,Palmerton Area HS,4218360,4218360,39501301900000.0,421836004734,482.0,09-12,4,469.454,ADM,18990.62,447.64,19438.26,8915220.34,210146.4,9125366.74,,3452595.79,2242487.31,1952180.87,1267956.37,202234.27,7912.13,5607010.93,3518355.81,430.79,11512.9,4158.41,7354.49,16.85,7477.72,2700.92,4776.8,0,0,1,0,1,1,1
PA,2018-2019,121136503,7140,Palmerton Area SD,Palmerton Area JHS,4218360,4218360,39501301900000.0,421836007174,286.0,07-08,3,284.67,ADM,18990.62,447.64,19438.26,5406058.48,127429.69,5533488.17,,2093603.3,1359811.32,1183773.76,768870.1,122631.89,4797.8,3400008.95,2133479.21999999,430.79,11512.9,4158.41,7354.49,16.85,7477.72,2700.92,4776.8,0,0,1,0,1,1,1
