state,year,distid_stateassigned,schoolid_stateassigned,distname,schoolname,ncesdistid_admin,ncesdistid_geo,census_id,ncesid,ncesenroll,gradespan,level,enroll_raw_DE,enrollmetric,pp_stloc_raw_DE,pp_fed_raw_DE,pp_total_raw_DE,schoolstloc_raw_DE,schoolfed_raw_DE,schooltot_raw_DE,pp_total_norm_NERDS,pp_nonpersonnel_summed_DE,pp_nonper_stloc_summed_DE,pp_nonper_fed_raw_DE,pp_per_fed_raw_DE,pp_per_stloc_raw_DE,countenroll,noaudit,nositecen,adfinvars,distflex,flag_nerds,flag_f33
DE,2018-2019,31,194,Brandywine School District,Concord High School,1001240,1001240,8500260200000.0,100124000247,1116.0,09-12,4.0,1116,September Count Day,16012.47,354.57,16367.04,17869916.52,395700.12,18265616.64,16630.9439841899,2870.06,2674.63,159.14,195.43,13337.84,1,0,1,0,0,0,0
DE,2018-2019,31,170,Brandywine School District,duPont (Pierre S.) Middle School,1001240,1001240,8500260200000.0,100124000243,886.0,06-08,3.0,886,September Count Day,17568.12,1063.97,18632.09,15565354.3199999,942677.42,16508031.74,18895.9939841899,3836.25999999999,3125.97,353.68,710.29,14442.15,1,0,1,0,0,0,0
DE,2018-2019,31,124,Brandywine School District,Forwood Elementary School,1001240,1001240,8500260200000.0,100124000288,349.0,KG-05,2.0,349,September Count Day,17276.78,1158.8,18435.58,6029596.22,404421.2,6434017.42,18699.4839841899,3829.68,2820.98,150.1,1008.7,14455.8,1,0,1,0,0,0,0
DE,2018-2019,31,110,Brandywine School District,Hanby Elementary School,1001240,1001240,8500260200000.0,100124000293,528.0,KG-05,2.0,528,September Count Day,17088.03,471.419999999999,17559.45,9022479.84,248909.759999999,9271389.6,17823.3539841899,2909.84,2589.06,150.64,320.78,14498.97,1,0,1,0,0,0,0
DE,2018-2019,31,156,Brandywine School District,Harlan (David W. ) Elementary School,1001240,1001240,8500260200000.0,100124000285,361.0,KG-05,2.0,361,September Count Day,18742.92,2213.35999999999,20956.28,6766194.11999999,799022.959999999,7565217.07999999,21220.1839841899,5181.78,3176.92,208.5,2004.86,15566,1,0,1,0,0,0,0
DE,2018-2019,31,128,Brandywine School District,Lancashire Elementary School,1001240,1001240,8500260200000.0,100124000283,499.0,KG-05,2.0,499,September Count Day,14427.45,794.72,15222.17,7199297.55,396565.28,7595862.83,15486.0739841899,2819.72999999999,2155.39999999999,130.39,664.33,12272.05,1,0,1,0,0,0,0
DE,2018-2019,31,130,Brandywine School District,Lombardy Elementary School,1001240,1001240,8500260200000.0,100124000282,497.0,KG-05,2.0,497,September Count Day,14980.36,323.96,15304.32,7445238.92,161008.12,7606247.04,15568.2239841899,2412.2,2226.18,137.94,186.02,12754.18,1,0,1,0,0,0,0
DE,2018-2019,31,132,Brandywine School District,Maple Lane Elementary School,1001240,1001240,8500260200000.0,100124000281,428.0,KG-05,2.0,428,September Count Day,14124.99,1088.02,15213.01,6045495.72,465672.56,6511168.28,15476.9139841899,3348.23,2553.22,293.01,795.01,11571.77,1,0,1,0,0,0,0
DE,2018-2019,31,176,Brandywine School District,Mount Pleasant Elementary School,1001240,1001240,8500260200000.0,100124000318,730.0,KG-05,2.0,730,September Count Day,16649.07,926.47,17575.54,12153821.1,676323.1,12830144.2,17839.4439841899,3503.31,2854.21,277.37,649.1,13794.86,1,0,1,0,0,0,0
DE,2018-2019,31,196,Brandywine School District,Mount Pleasant High School,1001240,1001240,8500260200000.0,100124000246,1045.0,09-12,4.0,1045,September Count Day,16781.76,359.47,17141.23,17536939.2,375646.15,17912585.3499999,17405.1339841899,3158.08,2992.49,193.88,165.59,13789.27,1,0,1,0,0,0,0
