state,year,distid_stateassigned,schoolid_stateassigned,distname,schoolname,ncesdistid_admin,ncesdistid_geo,census_id,ncesid,ncesenroll,gradespan,level,enroll_raw_ME,enrollmetric,pp_stloc_raw_ME,pp_fed_raw_ME,pp_total_raw_ME,pp_site_stloc_raw_ME,pp_site_fed_raw_ME,pp_site_raw_ME,pp_centshare_stloc_raw_ME,pp_centshare_fed_raw_ME,pp_centshare_raw_ME,schoolstloc_raw_ME,schoolfed_raw_ME,schooltot_raw_ME,pp_total_norm_NERDS,pp_salary_site_raw_ME,pp_salary_cent_raw_ME,pp_benefit_site_ME,pp_benefit_cent_ME,pp_nonperson_site_ME,pp_nonperson_cent_raw_ME,countenroll,noaudit,nositecen,adfinvars,distflex,flag_nerds,flag_f33
ME,2018-2019,1054,1055,Great Salt Bay CSD,Great Salt Bay Community School,2306160,2306160,20500890100000.0,230616000916.0,446.0,KG-08,3.0,446,October Count Day,12956.17,161.06,13117.23,12461.82,0,12461.82,494.35,161.06,655.41,5778451.82,71832.76,5850284.58,13109.86547,7823.17,34.24,2993.22,14.29,1645.43,606.89,1,0,0,1,0,0,0
ME,2018-2019,208,209,Greenbush Public Schools,Helen S Dunn Elementary School,2306180,2306180,20301002530100.0,230618000165.0,147.0,PK-08,3.0,147,October Count Day,13844.0099999999,1229.48,15073.4899999999,8334.23,799.73,9133.96,5509.78,429.75,5939.53,2035069.46999999,180733.56,2215803.03,,5286.64,2783.02,2408.93,668.05,1438.4,2488.47,1,0,0,1,0,1,1
ME,2018-2019,210,213,Greenville Public Schools,Greenville Consolidated School,2306250,2306250,20301100930100.0,230625023138.0,195.0,KG-12,4.0,194,October Count Day,19291.81,813.87,20105.68,16499,813.87,17312.87,2792.81,0,2792.81,3742611.14,157890.78,3900501.92,19882.59323,10075.94,1040.25,4723.01,406.72,2513.92,1345.84,1,0,0,1,0,0,0
ME,2018-2019,1664,215,Hancock Public Schools,Hancock Grammar School,2306260,2306260,20300501630100.0,230626000166.0,228.0,KG-08,3.0,226,October Count Day,12964.08,821.11,13785.19,10573.09,772.12,11345.21,2390.99,48.99,2439.97999999999,2929882.08,185570.86,3115452.94,14138.20758,6767.88,642.02,2848.85,177.68,1728.48,1620.29,1,0,0,1,0,0,0
ME,2018-2019,217,218,Harmony Public Schools,Harmony Elementary,2306330,2306330,20301301430100.0,230633000167.0,63.0,PK-08,3.0,63,October Count Day,16447.55,1738.1,18185.6499999999,13546.51,1680.57,15227.08,2901.04,57.53,2958.57,1036195.64999999,109500.299999999,1145695.95,18344.58389,9739.1,667.01,3583.39,71.08,1904.58,2220.48,1,0,0,1,0,0,0
ME,2018-2019,1632,1650,Harpswell Coastal Academy,Harpswell Coastal Academy Division 1,2314816,2314816,,231481623139.0,76.0,06-08,3.0,76,October Count Day,15081.77,3.45,15085.22,11551.76,0,11551.76,3530.01,3.45,3533.46,1146214.52,262.2,1146476.72,14751.8242,6316.36,1910.36,1680.82,547.42,3554.58,1075.67,1,0,0,1,0,0,0
ME,2018-2019,1632,2028,Harpswell Coastal Academy,Harpswell Coastal Academy Divisions 2 and 3,2314816,2314816,,231481623173.0,124.0,09-12,4.0,124,October Count Day,9707.86,3.45,9711.31,6177.85,0,6177.85,3530.01,3.45,3533.46,1203774.64,427.8,1204202.44,9377.9142,3170,1910.36,1015.77,547.42,1992.08,1075.67,1,0,0,1,0,0,0
ME,2018-2019,219,222,Hermon Public Schools,Hermon High School,2306510,2306510,20301002830100.0,230651000281.0,504.0,09-12,4.0,504,October Count Day,11454.05,121.84,11575.89,10193.21,17.92,10211.13,1260.84,103.92,1364.76,5772841.19999999,61407.36,5834248.56,11466.10851,6116.72,765.79,2490.12,230.58,1604.29,368.39,1,0,0,1,0,0,0
ME,2018-2019,219,221,Hermon Public Schools,Hermon Middle School,2306510,2306510,20301002830100.0,230651000169.0,309.0,05-08,3.0,309,October Count Day,10019.11,241.43,10260.54,8763.91,76.12,8840.03,1255.2,165.31,1420.51,3095904.99,74601.87,3170506.86,10150.75851,5579.22,794.73,2341.34,230.06,919.47,395.73,1,0,0,1,0,0,0
ME,2018-2019,219,220,Hermon Public Schools,Patricia A Duran School,2306510,2306510,20301002830100.0,230651000168.0,467.0,PK-04,2.0,469,October Count Day,9599.54,566.27,10165.81,8344.34,400.96,8745.3,1255.2,165.31,1420.51,4502184.26,265580.63,4767764.89,10056.02851,5508.22,794.73,2498.27,230.06,738.82,395.73,1,0,0,1,0,0,0
ME,2018-2019,225,226,Hope Public Schools,Hope Elementary School,2306610,2306610,20300700530100.0,230661000980.0,176.0,PK-08,3.0,176,October Count Day,15726.33,780.91,16507.24,14983.5399999999,780.91,15764.4499999999,742.79,0,742.79,2767834.08,137440.16,2905274.24,16602.27273,8906.47,0,3790.31,0,3067.67,742.79,1,0,0,1,0,0,0
ME,2018-2019,1015,1016,Houlton-Region 2,Region Two Sch of Applied Tech,2312260,2312260,20500260200000.0,231226000215.0,,,0.0,207,October Count Day,5440.8,85.88,5526.68,5440.8,85.88,5526.68,0,0,0,1126245.6,17777.16,1144022.76,,2450.65,0,1070.27,0,2005.77,0,1,0,0,1,0,1,1
ME,2018-2019,1009,1010,Indian Island,Indian Island School,2300066,2300066,20500620100000.0,,,,,103,October Count Day,37734.64,7678.01,45412.65,35406.82,7678.01,43084.83,2327.81999999999,0,2327.81999999999,3886667.92,790835.03,4677502.95,,18275.96,648.74,8712.82,350.7,16096.04,1328.38,1,0,0,1,0,1,1
