state,year,distid_stateassigned,schoolid_stateassigned,distname,schoolname,ncesdistid_admin,ncesdistid_geo,census_id,ncesid,ncesenroll,gradespan,level,enroll_raw_CO,enrollmetric,pp_stloc_raw_CO,pp_fed_raw_CO,pp_total_raw_CO,pp_site_stloc_raw_CO,pp_site_fed_raw_CO,pp_site_raw_CO,pp_centshare_stloc_raw_CO,pp_centshare_fed_raw_CO,pp_centshare_raw_CO,schoolstloc_raw_CO,schoolfed_raw_CO,schooltot_raw_CO,pp_total_norm_NERDS,countenroll,noaudit,nositecen,adfinvars,distflex,flag_nerds,flag_f33
CO,2018-2019,1140,9248,CANON CITY RE-1,WASHINGTON ELEMENTARY SCHOOL,802790,802790,6502200300000.0,80279000176,310.0,KG-05,2.0,310,School Membership,9896,1706,11602,7024,1347,8371,2872,359,3231,3067760,528860,3596620,11065.42735,1,0,0,0,0,0,0
CO,2018-2019,9035,1607,Centennial BOCES,CENTENNIAL BOCES HIGH SCHOOL,899200,899200,6500760100000.0,89920006526,101.0,11-12,4.0,101,School Membership,5407,0,5407,5407,0,5407,0,0,0,546107,0,546107,,1,0,0,0,0,1,1
CO,2018-2019,9035,3997,Centennial BOCES,INNOVATIVE CONNECTIONS HIGH SCHOOL,899200,899200,6500760100000.0,89920006560,41.0,10-12,4.0,41,School Membership,6217,0,6217,6217,0,6217,0,0,0,254897,0,254897,,1,0,0,0,0,0,1
CO,2018-2019,640,1398,CENTENNIAL R-1,CENTENNIAL SCHOOL,806360,806360,6501200100000.0,80636001416,217.0,PK-12,4.0,217,School Membership,7723,1291,9014,7723,1291,9014,0,0,0,1675891,280147,1956038,,1,0,0,0,0,1,1
CO,2018-2019,2810,1420,CENTER 26 JT,CENTER HIGH SCHOOL,802850,802850,6505500100000.0,80285000179,142.0,09-12,4.0,142,School Membership,17034,1145,18179,13281,431,13712,3753,714,4466,2418828,162590,2581418,17967.5493,1,0,0,0,0,0,0
CO,2018-2019,2810,1368,CENTER 26 JT,CENTER VIRTUAL ACADEMY,802850,802850,6505500100000.0,80285006513,16.0,09-12,4.0,16,School Membership,4893,714,5606,1140,0,1140,3753,714,4466,78288,11424,89696,5394.549296,1,0,0,0,0,0,0
CO,2018-2019,2810,1412,CENTER 26 JT,HASKIN ELEMENTARY SCHOOL,802850,802850,6505500100000.0,80285000177,324.0,PK-05,2.0,324,School Membership,10576,827,11402,6823,113,6935,3753,714,4466,3426624,267948,3694248,11190.5493,1,0,0,0,0,0,0
CO,2018-2019,2810,1416,CENTER 26 JT,SKOGLUND MIDDLE SCHOOL,802850,802850,6505500100000.0,80285000178,144.0,06-08,3.0,144,School Membership,15538,764,16301,11785,50,11835,3753,714,4466,2237472,110016,2347344,16089.5493,1,0,0,0,0,0,0
CO,2018-2019,2810,51,CENTER 26 JT,THE ACADEMIC RECOVERY CENTER OF SAN LUIS VALLEY,802850,802850,6505500100000.0,80285002008,13.0,09-12,4.0,13,School Membership,14934,714,15647,11181,0,11181,3753,714,4466,194142,9282,203411,15435.5493,1,0,0,0,0,0,0
CO,2018-2019,8001,657,Charter School Institute,Academy of Arts and Knowledge Elementary,800020,800020,,80002001998,208.0,KG-05,2.0,208,School Membership,NRD,NRD,8070,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,1678560,7812.547519,1,0,0,0,0,1,0
CO,2018-2019,8001,15,Charter School Institute,Academy of Charter Schools,800020,800020,,80002000727,1881.0,PK-12,4.0,1881,School Membership,NRD,NRD,9213,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,17329653,8955.547519,1,0,0,0,0,1,0
CO,2018-2019,8001,75,Charter School Institute,Animas High School,800020,800020,,80002006418,252.0,09-12,4.0,252,School Membership,NRD,NRD,10780,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,2716560,10522.54752,1,0,0,0,0,1,0
CO,2018-2019,8001,493,Charter School Institute,Axis International Academy,800020,800020,,80002006768,,KG-05,2.0,NRD,School Membership,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,,1,0,0,0,0,1,0
CO,2018-2019,8001,1279,Charter School Institute,CAPROCK ACADEMY,800020,800020,,80002006305,845.0,KG-12,4.0,845,School Membership,7126,130,7256,7126,130,7256,0,0,0,6021470,109850,6131320,6998.547519,1,0,0,0,0,0,0
CO,2018-2019,8001,2067,Charter School Institute,COLORADO EARLY COLLEGE FORT COLLINS,800020,800020,,80002006542,1355.0,06-12,4.0,1355,School Membership,8544,68,8611,8544,68,8611,0,0,0,11577120,92140,11667905,8353.547519,1,0,0,0,0,0,0
CO,2018-2019,8001,2196,Charter School Institute,COLORADO EARLY COLLEGES - PARKER,800020,800020,,80002006634,604.0,09-12,4.0,604,School Membership,8857,417,9273,8857,417,9273,0,0,0,5349628,251868,5600892,9015.547519,1,0,0,0,0,0,0
CO,2018-2019,8001,1633,Charter School Institute,COLORADO EARLY COLLEGES AURORA,800020,800020,,80002006710,341.0,09-12,4.0,341,School Membership,10293,251,10544,10293,251,10544,0,0,0,3509913,85591,3595504,10286.54752,1,0,0,0,0,0,0
CO,2018-2019,8001,149,Charter School Institute,Colorado Early Colleges Fort Collins West,800020,800020,,80002006777,,06-08,3.0,1355,School Membership,NRD,NRD,8611,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,11667905,8353.547519,1,0,0,0,0,1,0
CO,2018-2019,8001,1387,Charter School Institute,Colorado Early Colleges Windsor,800020,800020,,80002006779,,KG-12,4.0,NRD,School Membership,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,,1,0,0,0,0,1,0
CO,2018-2019,8001,1505,Charter School Institute,COLORADO MILITARY ACADEMY,800020,800020,,80002006708,578.0,KG-12,4.0,578,School Membership,8297,365,8662,8297,365,8662,0,0,0,4795666,210970,5006636,8404.547519,1,0,0,0,0,0,0
CO,2018-2019,8001,1791,Charter School Institute,COLORADO SPRINGS CHARTER ACADEMY,800020,800020,,80002001912,461.0,KG-08,3.0,461,School Membership,7006,109,7115,7006,109,7115,0,0,0,3229766,50249,3280015,6857.547519,1,0,0,0,0,0,0
CO,2018-2019,8001,1795,Charter School Institute,COLORADO SPRINGS EARLY COLLEGES,800020,800020,,80002006310,671.0,09-12,4.0,671,School Membership,14457,40,14497,14457,40,14497,0,0,0,9700647,26840,9727487,14239.54752,1,0,0,0,0,0,0
CO,2018-2019,8001,1882,Charter School Institute,COMMUNITY LEADERSHIP ACADEMY,800020,800020,,80002001876,508.0,PK-05,2.0,508,School Membership,7794,466,8259,7794,466,8259,0,0,0,3959352,236728,4195572,8001.547519,1,0,0,0,0,0,0
CO,2018-2019,8001,5431,Charter School Institute,Coperni 2,800020,800020,,80002006761,273.0,KG-07,3.0,273,School Membership,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,,1,0,0,0,0,1,0
CO,2018-2019,8001,1371,Charter School Institute,Coperni 3,800020,800020,,80002006784,,KG-06,2.0,0,School Membership,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,1,0
CO,2018-2019,8001,2035,Charter School Institute,CROWN POINTE CHARTER ACADEMY,800020,800020,,80002001569,473.0,KG-08,3.0,473,School Membership,8488,335,8823,8488,335,8823,0,0,0,4014824,158455,4173279,8565.547519,1,0,0,0,0,0,0
CO,2018-2019,8001,2837,Charter School Institute,EARLY COLLEGE OF ARVADA,800020,800020,,80002006390,360.0,06-12,4.0,360,School Membership,8825,455,9280,8825,455,9280,0,0,0,3177000,163800,3340800,9022.547519,1,0,0,0,0,0,0
CO,2018-2019,8001,3513,Charter School Institute,EARLY LEARNING CENTER AT NEW LEGACY CHARTER SCHOOL,800020,800020,,80002006653,11.0,PK-PK,1.0,11,School Membership,76745,74,76820,76745,74,76820,0,0,0,844195,814,845020,76562.54752,1,0,0,0,0,0,0
