state,year,distid_stateassigned,schoolid_stateassigned,distname,schoolname,ncesdistid_admin,ncesdistid_geo,census_id,ncesid,ncesenroll,gradespan,level,enroll_raw_NM,enrollmetric,pp_stloc_raw_NM,pp_fed_raw_NM,pp_total_raw_NM,pp_site_stloc_raw_NM,pp_site_fed_raw_NM,pp_site_raw_NM,pp_centshare_stloc_raw_NM,pp_centshare_fed_raw_NM,pp_centshare_raw_NM,schoolstloc_raw_NM,schoolfed_raw_NM,schooltot_raw_NM,pp_total_norm_NERDS,countenroll,noaudit,nositecen,adfinvars,distflex,flag_nerds,flag_f33
NM,2018-2019,1,1216,Albuquerque,Atrisco Elementary,3500060,3500060,32500100100000.0,350006000029.0,320.0,PK-05,2.0,320,First Reporting Period MEM,9843.843205,1699.2452238,11543.08843,7219.603344,1218.379781,8437.983125,2624.239861,480.8654428,3105.105304,3150029.8256,543758.471616,3693788.2976,11940.67177,0,0,0,0,0,0,0
NM,2018-2019,1,1576,Albuquerque,Atrisco Heritage Academy HS,3500060,3500060,32500100100000.0,350006001037.0,2425.0,09-12,4.0,2425,First Reporting Period MEM,7506.85679399999,1056.1304026,8562.987197,4750.926812,510.4255753,5261.352388,2755.929982,545.7048273,3301.634809,18204127.7254499,2561116.226305,20765243.952725,8960.570542,0,0,0,0,0,0,0
NM,2018-2019,1,1222,Albuquerque,Bandelier Elementary,3500060,3500060,32500100100000.0,350006000030.0,519.0,KG-05,2.0,519,First Reporting Period MEM,8060.737859,436.885509999999,8497.623369,6119.64869,202.7188632,6322.367553,1941.089169,234.1666468,2175.255816,4183522.948821,226743.579689999,4410266.528511,8895.206714,0,0,0,0,0,0,0
NM,2018-2019,1,1225,Albuquerque,Barcelona Elementary,3500060,3500060,32500100100000.0,350006000031.0,410.0,PK-06,2.0,411,First Reporting Period MEM,7843.122461,954.0441187,8797.16658,5621.199757,566.6405839,6187.840341,2221.922704,387.4035348,2609.326239,3223523.331471,392112.1327857,3615635.46438,9194.749925,0,0,0,0,0,0,0
NM,2018-2019,1,1228,Albuquerque,Bel-Air Elementary,3500060,3500060,32500100100000.0,350006000032.0,278.0,PK-05,2.0,278,First Reporting Period MEM,9569.722688,1391.1423817,10960.86507,6701.851223,975.3044964,7677.155719,2867.871465,415.8378853,3283.70935,2660382.907264,386737.5821126,3047120.48946,11358.44841,0,0,0,0,0,0,0
NM,2018-2019,1,1229,Albuquerque,Bellehaven Elementary,3500060,3500060,32500100100000.0,350006000033.0,360.0,PK-05,2.0,362,First Reporting Period MEM,7756.39123999999,879.1957099,8635.58695,5278.446464,483.8969613,5762.343425,2477.944776,395.2987486,2873.243525,2807813.62887999,318268.8469838,3126082.4759,9033.170295,0,0,0,0,0,0,0
NM,2018-2019,1,1974,Albuquerque,Bernalillo Academy,3500060,3500060,32500100100000.0,,,,,47,First Reporting Period MEM,0,372.2019149,372.2019149,0,372.2019149,372.2019149,0,0,0,0,17493.4900003,17493.4900003,769.7852595,0,0,0,0,0,1,0
NM,2018-2019,1,1592,Albuquerque,CAREER ENRICHMENT,3500060,3500060,32500100100000.0,350006000456.0,,09-12,4.0,NRD,First Reporting Period MEM,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,,0,0,0,0,0,1,0
NM,2018-2019,1,1339,Albuquerque,Carlos Rey Elementary,3500060,3500060,32500100100000.0,350006000035.0,650.0,PK-05,2.0,650,First Reporting Period MEM,7335.442756,1156.9329197,8492.375676,5195.963092,746.4761846,5942.439277,2139.479664,410.4567351,2549.936399,4768037.7914,752006.397805,5520044.1894,8889.959021,0,0,0,0,0,0,0
NM,2018-2019,1,1295,Albuquerque,Chamiza Elementary,3500060,3500060,32500100100000.0,350006000642.0,419.0,KG-05,2.0,419,First Reporting Period MEM,8856.130217,732.3035353,9588.433752,6544.063556,389.2789499,6933.342506,2312.066661,343.0245854,2655.091246,3710718.560923,306835.1812907,4017553.742088,9986.017097,0,0,0,0,0,0,0
