state,year,distid_stateassigned,schoolid_stateassigned,distname,schoolname,ncesdistid_admin,ncesdistid_geo,census_id,ncesid,ncesenroll,gradespan,level,enroll_raw_GA,enrollmetric,pp_stloc_raw_GA,pp_fed_raw_GA,pp_total_raw_GA,pp_site_stloc_raw_GA,pp_site_fed_raw_GA,pp_site_raw_GA,pp_centshare_stloc_raw_GA,pp_centshare_fed_raw_GA,pp_centshare_raw_GA,schoolstloc_raw_GA,schoolfed_raw_GA,schooltot_raw_GA,pp_total_norm_NERDS,distexclu_raw_GA,disttotwexclu_raw_GA,schoolexclu_raw_GA,charter_fed_dist_raw_GA,charter_state_dist_raw_GA,note_raw_GA,countenroll,noaudit,nositecen,adfinvars,distflex,flag_nerds,flag_f33
GA,2018-2019,761,180,Atlanta Public Schools,Bunche Middle School,1300120,1300120,11506000100000.0,130012000150,930.0,06-08,3.0,930,Four Quarter ADA,12753.6298828125,1070.60998535156,13824.240234375,8424.1279296875,668.672668457031,9092.80078125,4329.50146484375,401.933837890625,4731.43505859375,11860876,995664,12856539,15036.56048,157537632,968419456,113131.32,0,0,,1,0,0,1,0,0,0
GA,2018-2019,761,305,Atlanta Public Schools,Burgess-Peterson Elementary School,1300120,1300120,11506000100000.0,130012003471,520.0,PK-05,2.0,462,Four Quarter ADA,15983.33984375,969.320007324219,16952.66015625,11648.4580078125,568.262634277344,12216.720703125,4334.880859375,401.056335449219,4735.9365234375,7384302.5,447825.375,7832128,18164.9804,157537632,968419456,528532.8899999999,0,0,,1,0,0,1,0,0,0
GA,2018-2019,761,1413,Atlanta Public Schools,Carver High School,1300120,1300120,11506000100000.0,130012004223,499.0,09-12,4.0,499,Four Quarter ADA,17684.259765625,1193.06005859375,18877.3203125,17014.078125,1157.26647949219,18171.345703125,670.184936523438,35.7917442321777,705.976684570312,8824447,595336.0625,9419783,20089.64056,157537632,968419456,129892.8,17860.080000000002,262578.09999999998,,1,0,0,1,0,0,0
GA,2018-2019,761,196,Atlanta Public Schools,Cascade Elementary School,1300120,1300120,11506000100000.0,130012000092,425.0,PK-05,2.0,405,Four Quarter ADA,16642.130859375,1071.60998535156,17713.75,12299.111328125,669.807250976562,12968.91796875,4343.0234375,401.805480957031,4744.8291015625,6740064.5,434003.15625,7174067.5,18926.07024,157537632,968419456,217976.60000000003,0,0,,1,0,0,1,0,0,0
GA,2018-2019,761,199,Atlanta Public Schools,Centennial Academy,1300120,1300120,11506000100000.0,130012002290,812.0,KG-08,3.0,812,Four Quarter ADA,14280.26953125,486.959991455078,14767.2197265625,13841.578125,472.347717285156,14313.92578125,438.688507080078,14.6086940765381,453.297180175781,11595576,395408.59375,11990985,15979.53997,157537632,968419456,3479753.7500000009,11862.26,347609.11,,1,0,0,1,0,0,0
GA,2018-2019,761,515,Atlanta Public Schools,Charles Drew Charter School JA/SA,1300120,1300120,11506000100000.0,130012004161,833.0,06-12,4.0,833,Four Quarter ADA,15899.25,571.650024414062,16470.900390625,15349.9970703125,554.501831054688,15904.4990234375,549.248107910156,17.149543762207,566.397644042969,13244071,476185.5625,13720257,17683.22063,157537632,968419456,9996389.6600000001,14285.57,395460.24,,1,0,0,1,0,0,0
GA,2018-2019,761,201,Atlanta Public Schools,Charles R. Drew Charter School,1300120,1300120,11506000100000.0,130012002453,994.0,PK-05,2.0,906,Four Quarter ADA,17590.7109375,401.910003662109,17590.7109375,17048.58203125,0,17048.58203125,542.131713867188,401.910919189453,542.131713867188,15937187,364131.28125,15937187,18803.03118,157537632,968419456,11782257.130000001,0,477711.82,,1,0,0,1,0,0,0
GA,2018-2019,761,4056,Atlanta Public Schools,Cleveland Elementary School,1300120,1300120,11506000100000.0,130012000091,359.0,PK-05,2.0,337,Four Quarter ADA,17550.69921875,2181.88989257812,19732.58984375,13209.857421875,1780.28845214844,14990.1455078125,4340.84375,401.604797363281,4742.4482421875,5914586,735298,6649884,20944.91009,157537632,968419456,299202.64,0,0,,1,0,0,1,0,0,0
GA,2018-2019,761,3057,Atlanta Public Schools,Continental Colony Elementary School,1300120,1300120,11506000100000.0,130012000113,451.0,PK-05,2.0,411,Four Quarter ADA,15293.830078125,1089.64001464844,16383.4697265625,10971.7783203125,689.78125,11661.5595703125,4322.0478515625,399.859954833984,4721.90771484375,6285762.5,447842.53125,6733605,17595.78997,157537632,968419456,354380.43000000005,0,0,,1,0,0,1,0,0,0
GA,2018-2019,761,1410,Atlanta Public Schools,Corretta Scott King Womens' Leadership Academy,1300120,1300120,11506000100000.0,130012003980,350.0,06-12,4.0,350,Four Quarter ADA,20880.939453125,1383.4599609375,22264.390625,16488.14453125,982.956970214844,17471.1015625,4392.79345703125,400.498352050781,4793.2919921875,7308328,484209.375,7792537.5,23476.71087,157537632,968419456,249755.65000000002,0,0,,1,0,0,1,0,0,0
GA,2018-2019,761,2664,Atlanta Public Schools,Crim High School,1300120,1300120,11506000100000.0,130012000120,207.0,09-12,4.0,207,Four Quarter ADA,26540.76953125,1087.30004882812,27628.0703125,22036.64453125,682.556457519531,22719.201171875,4504.12060546875,404.745971679688,4908.8662109375,5493938.5,225071.609375,5719010,28840.39056,157537632,968419456,93856.790000000008,0,0,,1,0,0,1,0,0,0
GA,2018-2019,761,304,Atlanta Public Schools,Deerwood Academy School,1300120,1300120,11506000100000.0,130012003470,677.0,PK-05,2.0,634,Four Quarter ADA,13814.51953125,1256.81994628906,15071.33984375,9474.5166015625,855.289611816406,10329.8056640625,4340.00537109375,401.529388427734,4741.53515625,8758407,796823.25,9555231,16283.66009,157537632,968419456,423636.06000000006,0,0,,1,0,0,1,0,0,0
GA,2018-2019,761,104,Atlanta Public Schools,Dobbs Elementary School,1300120,1300120,11506000100000.0,130012003025,460.0,PK-05,2.0,438,Four Quarter ADA,16160.669921875,2124,18284.669921875,11826.75,1723.03979492188,13549.7900390625,4333.91943359375,400.960784912109,4734.88037109375,7078373.5,930312.25,8008686,19496.99017,157537632,968419456,312170.18,0,0,,1,0,0,1,0,0,0
GA,2018-2019,761,4058,Atlanta Public Schools,Douglass High School,1300120,1300120,11506000100000.0,130012000089,968.0,09-12,4.0,968,Four Quarter ADA,14617.080078125,1450.55004882812,16067.6298828125,10152.1455078125,1049.41638183594,11201.5615234375,4464.93212890625,401.135620117188,4866.068359375,14149331,1404134.375,15553465,17279.95013,157537632,968419456,634471.87,0,0,,1,0,0,1,0,0,0
GA,2018-2019,761,5558,Atlanta Public Schools,Dunbar Elementary School,1300120,1300120,11506000100000.0,130012000054,380.0,KG-05,2.0,380,Four Quarter ADA,15982.5595703125,1438.98999023438,17421.55078125,11628.9130859375,1036.19030761719,12665.103515625,4353.64404296875,402.800048828125,4756.44384765625,6073372,546816.3125,6620188,18633.87103,157537632,968419456,108769.95000000001,0,0,,1,0,0,1,0,0,0
GA,2018-2019,761,106,Atlanta Public Schools,Early College High School at Carver,1300120,1300120,11506000100000.0,130012003540,468.0,09-12,4.0,468,Four Quarter ADA,16359.3603515625,1019.34002685547,17378.69921875,11876.509765625,616.541198730469,12493.05078125,4482.845703125,402.800048828125,4885.64599609375,7656178.5,477051.6875,8133230,18591.01946,157537632,968419456,60945.83,0,0,,1,0,0,1,0,0,0
GA,2018-2019,761,5566,Atlanta Public Schools,F. L. Stanton Elementary School,1300120,1300120,11506000100000.0,130012000045,279.0,PK-05,2.0,261,Four Quarter ADA,19847.16015625,1208.33996582031,21055.509765625,15510.111328125,807.086547851562,16317.197265625,4337.05419921875,401.256805419922,4738.31103515625,5180110,315377.625,5495487.5,22267.83001,157537632,968419456,200308.58999999997,0,0,,1,0,0,1,0,0,0
GA,2018-2019,761,3059,Atlanta Public Schools,Fain Elementary School,1300120,1300120,11506000100000.0,130012000110,,,,414,Four Quarter ADA,16580.509765625,1420.98999023438,18001.5,12247.765625,1020.13385009766,13267.8994140625,4332.748046875,400.854217529297,4733.60205078125,6864332,588289.0625,7452621,19213.82024,157537632,968419456,248596.2,0,0,,1,0,0,1,0,0,0
GA,2018-2019,761,3559,Atlanta Public Schools,Fickett Elementary School,1300120,1300120,11506000100000.0,130012000103,538.0,PK-05,2.0,512,Four Quarter ADA,15063.2099609375,1160.2900390625,16223.5,10709.486328125,757.486694335938,11466.9736328125,4353.728515625,402.800048828125,4756.52880859375,7712366,594066.8125,8306433,17435.82024,157537632,968419456,293251.62999999995,0,0,,1,0,0,1,0,0,0
GA,2018-2019,761,105,Atlanta Public Schools,Finch Elementary,1300120,1300120,11506000100000.0,130012003468,458.0,PK-05,2.0,410,Four Quarter ADA,18646.4609375,1633.15002441406,20279.599609375,14313.9697265625,1232.310546875,15546.279296875,4332.48974609375,400.835205078125,4733.32470703125,7645048,669589.75,8314637.5,21491.91985,157537632,968419456,444334.31000000006,0,0,,1,0,0,1,0,0,0
GA,2018-2019,761,1560,Atlanta Public Schools,Garden Hills Elementary School,1300120,1300120,11506000100000.0,130012000029,548.0,PK-05,2.0,504,Four Quarter ADA,14597.66015625,733.950012207031,15331.6103515625,10243.9375,331.145782470703,10575.0830078125,4353.72265625,402.800079345703,4756.52294921875,7357220.5,369908.71875,7727129,16543.9306,157537632,968419456,320062.82000000007,0,0,,1,0,0,1,0,0,0
GA,2018-2019,761,2560,Atlanta Public Schools,Gideons Elementary School,1300120,1300120,11506000100000.0,130012000139,379.0,PK-05,2.0,357,Four Quarter ADA,19963.490234375,1056.15002441406,21019.640625,15621.958984375,654.47509765625,16276.43359375,4341.53076171875,401.671783447266,4743.20263671875,7126965.5,377044.4375,7504010,22231.96087,157537632,968419456,13266238.669999998,0,0,,1,0,0,1,0,0,0
GA,2018-2019,761,4560,Atlanta Public Schools,Grady High School,1300120,1300120,11506000100000.0,130012000066,1389.0,09-12,4.0,1389,Four Quarter ADA,13148.08984375,620.840026855469,13768.9296875,8680.84375,219.490844726562,8900.333984375,4467.24609375,401.350128173828,4868.5966796875,18262698,862348.125,19125046,14981.24993,157537632,968419456,1023611.66,0,0,,1,0,0,1,0,0,0
GA,2018-2019,761,1421,Atlanta Public Schools,Harper-Archer Elementary School,1300120,1300120,11506000100000.0,130012004346,,PK-05,2.0,NRD,Four Quarter ADA,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,,157537632,968419456,NRD,NRD,NRD,NRD,1,0,0,1,0,1,0
GA,2018-2019,761,504,Atlanta Public Schools,Harper-Archer Middle School,1300120,1300120,11506000100000.0,130012003029,,,,257,Four Quarter ADA,17694.150390625,1692.73999023438,19386.890625,13372.19921875,1291.50842285156,14663.7080078125,4321.94921875,401.232727050781,4723.1826171875,4547396,435034.46875,4982430.5,20599.21087,157537632,968419456,6550935.79,0,0,,1,0,0,1,0,0,0
GA,2018-2019,761,103,Atlanta Public Schools,Heritage Academy Elementary,1300120,1300120,11506000100000.0,130012002613,462.0,PK-05,2.0,441,Four Quarter ADA,15490.8203125,1273.31005859375,16764.130859375,11146.9365234375,871.425170898438,12018.361328125,4343.8837890625,401.886688232422,4745.7705078125,6831451.5,561530.5,7392982,17976.4511,157537632,968419456,227276.41000000003,0,0,,1,0,0,1,0,0,0
GA,2018-2019,761,207,Atlanta Public Schools,Hillside Conant School,1300120,1300120,11506000100000.0,130012003660,59.0,02-12,4.0,59,Four Quarter ADA,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,,157537632,968419456,NRD,NRD,NRD,NRD,1,0,0,1,0,1,0
GA,2018-2019,761,5562,Atlanta Public Schools,Humphries Elementary School,1300120,1300120,11506000100000.0,130012000043,302.0,PK-05,2.0,280,Four Quarter ADA,18014.740234375,1640.60998535156,19655.349609375,13661.05078125,1237.80505371094,14898.85546875,4353.6904296875,402.800079345703,4756.49072265625,5044127.5,459369.4375,5503497,20867.66985,157537632,968419456,557768.55000000005,0,0,,1,0,0,1,0,0,0
GA,2018-2019,761,1063,Atlanta Public Schools,Hutchinson Elementary School,1300120,1300120,11506000100000.0,130012000039,445.0,PK-05,2.0,426,Four Quarter ADA,15485.2900390625,1389.32995605469,16874.609375,11151.984375,988.416381835938,12140.4013671875,4333.30224609375,400.908966064453,4734.2109375,6596732.5,591852.625,7188585,18086.92962,157537632,968419456,447938.10999999993,0,0,,1,0,0,1,0,0,0
GA,2018-2019,761,1563,Atlanta Public Schools,Inman Middle School,1300120,1300120,11506000100000.0,130012000027,1065.0,06-08,3.0,1065,Four Quarter ADA,12822.5703125,400.910003662109,13223.48046875,8504.111328125,0,8504.111328125,4318.4619140625,400.908966064453,4719.37109375,13656041,426968.0625,14083009,14435.80071,157537632,968419456,473223.57,0,0,,1,0,0,1,0,0,0
GA,2018-2019,761,2563,Atlanta Public Schools,Jackson Elementary School,1300120,1300120,11506000100000.0,130012000137,700.0,PK-05,2.0,673,Four Quarter ADA,14678.9599609375,588.210021972656,15267.169921875,10331.7275390625,186.007736206055,10517.7353515625,4347.2333984375,402.201538085938,4749.4345703125,9878941,395864.84375,10274806,16479.49017,157537632,968419456,239979.78999999998,0,0,,1,0,0,1,0,0,0
GA,2018-2019,761,1418,Atlanta Public Schools,John Lewis Invictus Academy,1300120,1300120,11506000100000.0,130012004276,662.0,06-08,3.0,662,Four Quarter ADA,13155.0302734375,1036.42004394531,14191.4599609375,8829.3076171875,634.841064453125,9464.1484375,4325.72412109375,401.583190917969,4727.30712890625,8708631,686112.875,9394744,15403.7802,157537632,968419456,207668.46,0,0,,1,0,0,1,0,0,0
GA,2018-2019,761,1064,Atlanta Public Schools,Kimberly Elementary School,1300120,1300120,11506000100000.0,130012000038,473.0,PK-05,2.0,453,Four Quarter ADA,16417.080078125,984.739990234375,17401.810546875,12072.9677734375,582.8251953125,12655.79296875,4344.1103515625,401.910919189453,4746.021484375,7436936.5,446085.46875,7883022,18614.13079,157537632,968419456,204951.62,0,0,,1,0,0,1,0,0,0
