state,year,distid_stateassigned,schoolid_stateassigned,distname,schoolname,ncesdistid_admin,ncesdistid_geo,census_id,ncesid,ncesenroll,gradespan,level,enroll_raw_NE,enrollmetric,pp_stloc_raw_NE,pp_fed_raw_NE,pp_total_raw_NE,schoolstloc_raw_NE,schoolfed_raw_NE,schooltot_raw_NE,pp_total_norm_NERDS,pp_schsalary_raw_NE,pp_schbenefits_raw_NE,pp_schbuildcontents_raw_NE,pp_stloc_operational_NE,countenroll,noaudit,nositecen,adfinvars,distflex,flag_nerds,flag_f33
NE,2018-2019,780107,2,CEDAR BLUFFS PUBLIC SCHOOLS,CEDAR BLUFFS ELEMENTARY SCHOOL,3104870,3104870,28507800200000.0,310487000125,270.0,PK-06,2.0,231.09,ADM,11773,1302,14396,2720622.57,300879.18,3326771.64,14407.0,7641,2934,1321,11800.0111212081,0,0,1,1,0,0,0
NE,2018-2019,780107,1,CEDAR BLUFFS PUBLIC SCHOOLS,CEDAR BLUFFS SECONDARY SCHOOL,3104870,3104870,28507800200000.0,310487000126,158.0,07-12,4.0,148.78,ADM,13089,591,14991,1947381.42,87928.98,2230360.98,15002.0,7428,2778,1311,13130.9545637854,0,0,1,1,0,0,0
NE,2018-2019,800567,2,CENTENNIAL PUBLIC SCHOOLS,CENTENNIAL ELEMENTARY SCHOOL,3100099,3100099,28508007600000.0,310009901670,252.0,PK-06,2.0,201.05,ADM,13743,863,16864,2763030.15,173506.15,3390507.2,16560.0,8692,3557,2258,14143.8356130315,0,0,1,1,0,0,0
NE,2018-2019,800567,1,CENTENNIAL PUBLIC SCHOOLS,CENTENNIAL JR-SR HIGH SCHOOL,3100099,3100099,28508007600000.0,310009901671,208.0,07-12,4.0,205.59,ADM,21637,238,24133,4448350.83,48930.42,4961503.47,23829.0,13297,5300,2258,22028.9840459166,0,0,1,1,0,0,0
NE,2018-2019,610004,4,CENTRAL CITY PUBLIC SCHOOLS,CENTRAL CITY ELEMENTARY SCHOOL,3104920,3104920,28506100100000.0,310492000133,317.0,PK-04,2.0,255.31,ADM,12543,761,15172,3202353.33,194290.91,3873563.32,14291.0,7520,3182,1868,12836.9681171908,0,0,1,1,0,0,0
NE,2018-2019,610004,1,CENTRAL CITY PUBLIC SCHOOLS,CENTRAL CITY HIGH SCHOOL,3104920,3104920,28506100100000.0,310492000129,218.0,09-12,4.0,213.45,ADM,17713,473,20674,3780839.84999999,100961.849999999,4412865.3,19793.0,10274,4243,2488,18064.6186460529,0,0,1,1,0,0,0
NE,2018-2019,610004,2,CENTRAL CITY PUBLIC SCHOOLS,CENTRAL CITY MIDDLE SCHOOL,3104920,3104920,28506100100000.0,310492000130,209.0,05-08,3.0,209.16,ADM,13770,34,16068,2880133.19999999,7111.44,3360782.88,15187.0,8192,3408,2264,14128.8305603365,0,0,1,1,0,0,0
NE,2018-2019,390060,2,CENTRAL VALLEY PUBLIC SCHOOLS,CENTRAL VALLEY ELEM - SCOTIA,3100185,3100185,28503910200000.0,310018502299,161.0,PK-06,2.0,136.61,ADM,18994,350,21587,2594770.34,47813.5,2949000.07,,10538,4798,2243,18994,0,0,1,1,0,0,1
NE,2018-2019,390060,1,CENTRAL VALLEY PUBLIC SCHOOLS,CENTRAL VALLEY HIGH SCHOOL,3100185,3100185,28503910200000.0,310018502310,122.0,07-12,4.0,125.53,ADM,28141,726,32421,3532539.73,91134.78,4069808.13,,15122,5831,3554,28141,0,0,1,1,0,0,1
NE,2018-2019,390060,3,CENTRAL VALLEY PUBLIC SCHOOLS,CENTRAL VALLEY PK - GREELEY,3100185,3100185,28503910200000.0,310018502302,11.0,PK-PK,1.0,11,ADM,NRD,NRD,NRD,NRD,NRD,NRD,,NRD,NRD,NRD,NRD,0,0,1,1,0,1,1
NE,2018-2019,390060,4,CENTRAL VALLEY PUBLIC SCHOOLS,CENTRAL VALLEY PK - WOLBACH,3100185,3100185,28503910200000.0,310018502303,9.0,PK-PK,1.0,9,ADM,NRD,NRD,NRD,NRD,NRD,NRD,,NRD,NRD,NRD,NRD,0,0,1,1,0,1,1
NE,2018-2019,470100,2,CENTURA PUBLIC SCHOOLS,CENTURA ELEMENTARY SCHOOL,3162950,3162950,28504700200000.0,316295000817,264.0,PK-06,2.0,232.22,ADM,11167,577,13665,2593200.73999999,133990.94,3173286.3,13424.0,7337,3093,1921,11358.981741452,0,0,1,1,0,0,0
