state,year,distid_stateassigned,schoolid_stateassigned,distname,schoolname,ncesdistid_admin,ncesdistid_geo,census_id,ncesid,ncesenroll,gradespan,level,enroll_raw_WA,enrollmetric,pp_stloc_raw_WA,pp_fed_raw_WA,pp_total_raw_WA,schoolstloc_raw_WA,schoolfed_raw_WA,schooltot_raw_WA,pp_total_norm_NERDS,nonperfed_admin_raw_WA,nonperfed_instruction_raw_WA,nonperfed_instructionsupport_raw_WA,nonperfed_food_raw_WA,nonperfed_maintenanceops_raw_WA,nonperfed_publicactives_raw_WA,nonperstloc_admin_raw_WA,nonperstloc_instruction_raw_WA,nonperstloc_instructionsupport_raw_WA,nonperstloc_food_raw_WA,nonperstloc_transportation_raw_WA,nonperstloc_maintenanceops_raw_WA,nonperstloc_otherservices_raw_WA,nonperstloc_publicactives_raw_WA,perfed_raw_WA,perstloc_raw_WA,countenroll,noaudit,nositecen,adfinvars,distflex,flag_nerds,flag_f33
WA,2018-2019,13161,5354,Moses Lake School District,Endeavor Middle School,5305220.0,5305220.0,48501300700000.0,530522003482.0,253.0,06-08,3.0,259.93,October Count Day,16822.8900915917,975.176583622554,17798.0666752142,4372773.82150743,253477.64938101,4626251.47088844,17806.00621,0,6816.13692641572,6084.78530523757,56911.1412211432,0,0,28054.3998584506,247519.039187719,113592.595237379,0,23615.4310429414,136339.144019845,17981.0148245782,0,183665.585928213,3805672.19733652,1,0,1,1,0,0,0
WA,2018-2019,13161,2673,Moses Lake School District,Frontier Middle School,5305220.0,5305220.0,48501300700000.0,530522002625.0,744.0,06-08,3.0,736.82,October Count Day,14533.6159596233,414.430445474051,14948.0464050973,10708658.9113696,305360.640834191,11014019.5522038,14955.98594,0,19321.6097030802,17248.4573100648,161325.230156437,0,0,79525.4218585914,701638.819891109,321999.369148639,0,66942.3379412151,386478.69848306,50970.5356944016,0,107465.343664609,9101103.72835263,1,0,1,1,0,0,0
WA,2018-2019,13161,3091,Moses Lake School District,Garden Heights Elementary,5305220.0,5305220.0,48501300700000.0,530522000787.0,522.0,KG-05,2.0,526.99,October Count Day,12185.2157223214,613.80682892472,12799.0225512461,6421486.83350617,323470.060775038,6744956.8942812,12806.96208,0,13819.2436381019,12336.4790828575,115383.381341631,0,0,56878.3448674834,501827.639985906,230301.087847292,0,47878.6442708409,276418.133755311,36455.2571938773,0,181930.956712448,5271727.72558545,1,0,1,1,0,0,0
WA,2018-2019,13161,2833,Moses Lake School District,Knolls Vista Elementary,5305220.0,5305220.0,48501300700000.0,530522000788.0,440.0,PK-05,2.0,432.45,October Count Day,13186.151758003,1447.56803787492,14633.7197958779,5702351.3277484,626000.797979009,6328352.12572741,14641.65933,0,11340.1239327068,10123.3616944946,94684.0419385348,0,0,46674.5863070327,411801.67159131,188985.949334069,0,39289.3977398529,226829.772751824,29915.3228211013,0,509853.270413273,4758854.62720321,1,0,1,1,0,0,0
WA,2018-2019,13161,2969,Moses Lake School District,Lakeview Terrace Elementary,5305220.0,5305220.0,48501300700000.0,530522000789.0,427.0,KG-05,2.0,430.65,October Count Day,12003.6855278705,737.931089440683,12741.6166173112,5169387.17257744,317790.02366763,5487177.19624507,12749.55615,0,11292.9225843916,10081.224913248,94289.9356245348,0,0,46480.3112339545,410087.616766789,188199.327276487,0,39125.8622653895,225885.632178456,29790.8053483809,0,202125.940545455,4229817.61750799,1,0,1,1,0,0,0
WA,2018-2019,13161,3021,Moses Lake School District,Larson Heights Elementary,5305220.0,5305220.0,48501300700000.0,530522000790.0,330.0,PK-05,2.0,325.64,October Count Day,14332.6441624254,1335.01199630847,15667.6561587339,4667282.24505223,434733.30647789,5102015.55153012,15675.59569,0,8539.24836963034,7623.01191396747,71298.2111616706,0,0,35146.5193317659,310091.56280956,142308.670461663,0,29585.3843912724,170805.520173208,22526.594342614,0,347272.835032621,3956817.99354215,1,0,1,1,0,0,0
WA,2018-2019,13161,3153,Moses Lake School District,Longview Elementary,5305220.0,5305220.0,48501300700000.0,530522000791.0,454.0,KG-05,2.0,458.18,October Count Day,13445.6970111517,1186.79134680481,14632.4883579565,6160549.45656949,543764.05927903,6704313.51584852,14640.42789,0,12014.8409839001,10725.6835730918,100317.572749215,0,0,49451.6405460891,436303.133055166,200230.274634949,0,41627.0464942671,240325.737725588,31695.2309172673,0,420705.961972824,5160916.39319617,1,0,1,1,0,0,0
WA,2018-2019,13161,2970,Moses Lake School District,Midway Elementary,5305220.0,5305220.0,48501300700000.0,530522001982.0,374.0,PK-06,2.0,388.63,October Count Day,15103.8599482423,1255.43875607278,16359.2987043151,5869813.09168541,487901.163772567,6357714.25545798,16367.23824,0,10191.0333309466,9097.56516436917,85089.7426721536,0,0,41945.0675835406,370073.959141014,169836.07235449,0,35308.2174670808,203845.195015704,26884.0141240945,0,383522.822605098,5021920.56599949,1,0,1,1,0,0,0
WA,2018-2019,13161,5601,Moses Lake School District,Moses Lake Big Picture,5305220.0,5305220.0,48501300700000.0,530522003721.0,,09-12,4.0,NRD,October Count Day,NRD,NRD,NRD,NRD,NRD,NRD,,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,1,0,1,1,0,1,0
WA,2018-2019,13161,3215,Moses Lake School District,Moses Lake High School,5305220.0,5305220.0,48501300700000.0,530522000792.0,2375.0,09-12,4.0,2212.54,October Count Day,12835.6565510156,428.332484959637,13263.9890359752,28399403.5453841,947702.756272596,29347106.3016567,13271.92857,0,58019.3728895157,51794.0633218572,484431.102209933,0,0,238800.761215776,2106897.14524833,966907.092934679,0,201015.988149692,1160527.10233395,153055.493940571,0,353458.217851289,23572199.961561,1,0,1,1,0,0,0
