state,year,distid_stateassigned,schoolid_stateassigned,distname,schoolname,ncesdistid_admin,ncesdistid_geo,census_id,ncesid,ncesenroll,gradespan,level,enroll_raw_MD,enrollmetric,pp_stloc_raw_MD,pp_fed_raw_MD,pp_total_raw_MD,schoolstloc_raw_MD,schoolfed_raw_MD,schooltot_raw_MD,pp_total_norm_NERDS,pp_site_stloc_difference_MD,pp_site_fed_difference_MD,pp_site_difference_MD,countenroll,noaudit,nositecen,adfinvars,distflex,flag_nerds,flag_f33
MD,2018-2019,18,304,Saint Mary's,Dr. James A. Forrest Career and Technology Center,2400600,2400600,21101901830100.0,240060001079.0,0.0,UG-UG,0.0,NRD,September Count Day,NRD,NRD,NRD,NRD,NRD,NRD,,NRD,NRD,NRD,1,0,1,0,0,1,0
MD,2018-2019,18,702,Saint Mary's,Dynard Elementary,2400600,2400600,21101901830100.0,240060001219.0,449.0,PK-05,2.0,449,September Count Day,12761,323,13084,5729689,145027,5874716,13194.03472,11887,309,12196,1,0,1,0,0,0,0
MD,2018-2019,18,807,Saint Mary's,Esperanza Middle,2400600,2400600,21101901830100.0,240060001220.0,893.0,06-08,3.0,893,September Count Day,11707,355,12062,10454351,317015,10771366,12172.03472,10833,341,11174,1,0,1,0,0,0,0
MD,2018-2019,18,606,Saint Mary's,Evergreen Elementary School,2400600,2400600,21101901830100.0,240060001685.0,769.0,PK-05,2.0,769,September Count Day,10818,226,11044,8319042,173794,8492836,11154.03472,9944,212,10156,1,0,1,0,0,0,0
MD,2018-2019,18,805,Saint Mary's,George Washington Carver Elementary,2400600,2400600,21101901830100.0,240060001483.0,623.0,PK-05,2.0,623,September Count Day,13304,1686,14990,8288392,1050378,9338770,15100.03472,12430,1672,14102,1,0,1,0,0,0,0
MD,2018-2019,18,801,Saint Mary's,Great Mills High,2400600,2400600,21101901830100.0,240060001224.0,1682.0,09-12,4.0,1682,September Count Day,12773,400,13173,21484186,672800,22156986,13283.03472,11899,386,12285,1,0,1,0,0,0,0
MD,2018-2019,18,803,Saint Mary's,Green Holly Elementary School,2400600,2400600,21101901830100.0,240060001221.0,551.0,PK-05,2.0,551,September Count Day,19793,3360,23153,10905943,1851360,12757303,23263.03472,18919,3346,22265,1,0,1,0,0,0,0
MD,2018-2019,18,810,Saint Mary's,Greenview Knolls Elementary,2400600,2400600,21101901830100.0,240060001226.0,425.0,PK-05,2.0,425,September Count Day,14571,1819,16390,6192675,773075,6965750,16500.03472,13697,1805,15502,1,0,1,0,0,0,0
MD,2018-2019,18,604,Saint Mary's,Hollywood Elementary,2400600,2400600,21101901830100.0,240060001227.0,488.0,PK-05,2.0,488,September Count Day,13455,314,13770,6566040,153232,6719760,13880.03472,12581,300,12882,1,0,1,0,0,0,0
MD,2018-2019,18,301,Saint Mary's,Leonardtown Elementary,2400600,2400600,21101901830100.0,240060001228.0,465.0,PK-05,2.0,465,September Count Day,12902,300,13201,5999430,139500,6138465,13311.03472,12028,286,12313,1,0,1,0,0,0,0
