state,year,distid_stateassigned,schoolid_stateassigned,distname,schoolname,ncesdistid_admin,ncesdistid_geo,census_id,ncesid,ncesenroll,gradespan,level,enroll_raw_NH,enrollmetric,pp_stloc_raw_NH,pp_fed_raw_NH,pp_total_raw_NH,schoolstloc_raw_NH,schoolfed_raw_NH,schooltot_raw_NH,pp_total_norm_NERDS,pp_total_operational_NH,pp_stloc_operational_NH,pp_fed_operational_NH,countenroll,noaudit,nositecen,adfinvars,distflex,flag_nerds,flag_f33
NH,2018-2019,568,21475,White Mountains Regional,Lancaster Elementary School,3307050,3307050,30500470100000,330705000453,427.0,PK-08,3.0,402.33,Adjusted ADM,,,12274.2075659284,4938281.93,0.0,4938281.93,15099.2382067226,12274.2075659284,12274.2075659284,0.0,0,0,1,0,0,0,0
NH,2018-2019,568,21480,White Mountains Regional,White Mountains Regional High School,3307050,3307050,30500470100000,330705000454,358.0,09-12,4.0,350.59,Adjusted ADM,,,24463.6765737756,7532481.97,522119.2,8054601.17,25799.4485363417,22974.4178955475,21485.1592173193,1489.25867822812,0,0,1,0,0,0,0
NH,2018-2019,568,26930,White Mountains Regional,Whitefield Elementary School,3307050,3307050,30500470100000,330705000004,322.0,PK-08,3.0,300.01,Adjusted ADM,,,15572.7574080863,4671982.95,0.0,4671982.95,18397.7880488805,15572.7574080863,15572.7574080863,0.0,0,0,1,0,0,0,0
NH,2018-2019,572,23060,Wilton-Lyndeborough Cooperative,Florence Rideout Elementary School,3307115,3307115,30500680300000,330711500456,211.0,01-05,2.0,208.25,Adjusted ADM,,,20949.1488115246,3887071.48,237794.38,4124865.86,19659.6739313125,19807.2790396158,18665.409267707,1141.86977190876,0,0,1,0,0,0,0
NH,2018-2019,572,23035,Wilton-Lyndeborough Cooperative,Lyndeborough Central School,3307115,3307115,30500680300000,330711500237,67.0,PK-KG,1.0,57.41,Adjusted ADM,,,19810.4046333391,1102369.85,17472.74,1119842.59,19358.4494118151,19506.0545201184,19201.7044068977,304.350113220693,0,0,1,0,0,0,0
NH,2018-2019,572,26955,Wilton-Lyndeborough Cooperative,Wilton-Lyndeboro Middle School,3307115,3307115,30500680300000,330711500110,123.0,06-08,3.0,122.93,Adjusted ADM,,,22385.8257544944,2691909.98,29989.79,2721899.77,21994.2623772575,22141.8674855608,21897.9092166273,243.958268933539,0,0,1,0,0,0,0
NH,2018-2019,572,23070,Wilton-Lyndeborough Cooperative,Wilton-Lyndeboro Senior High School,3307115,3307115,30500680300000,330711500457,152.0,09-12,4.0,152.63,Adjusted ADM,,,23690.3577933564,3550470.71,32694.3,3583165.01,23328.5464346436,23476.1515429469,23261.9452925375,214.206250409486,0,0,1,0,0,0,0
NH,2018-2019,573,21735,Winchester,Winchester School,3307140,3307140,30500302300000,330714000459,419.0,PK-08,3.0,405.97,Adjusted ADM,,,18494.8327955267,7508347.27,0.0,7508347.27,20111.0331028553,18494.8327955267,18494.8327955267,0.0,0,0,1,0,0,0,0
NH,2018-2019,575,21130,Windham,Golden Brook Elementary School,3307170,3307170,30500803600000,330717000461,579.0,PK-04,2.0,499.01,Adjusted ADM,,,16238.8340915011,7717012.52,193164.04,7910176.56,15711.1160904755,15851.7395643373,15464.6450371736,387.094527163784,0,0,1,0,0,0,0
NH,2018-2019,575,21135,Windham,Windham Center School,3307170,3307170,30500803600000,330717000460,650.0,05-06,2.0,650.38,Adjusted ADM,,,16293.0535533072,10091477.91,252599.13,10344077.04,15764.0430903006,15904.6665641624,15516.2795750176,388.386989144807,0,0,1,0,0,0,0
NH,2018-2019,575,28640,Windham,Windham High School,3307170,3307170,30500803600000,330717000692,942.0,09-13,0.0,937.08,Adjusted ADM,,,17496.3785162419,16016878.8,189313.79,16206192.59,17153.7298257497,17294.3532996115,17092.3280829811,202.025216630383,0,0,1,0,0,0,0
NH,2018-2019,575,21125,Windham,Windham Middle School,3307170,3307170,30500803600000,330717000495,786.0,07-08,3.0,786.12,Adjusted ADM,,,15858.4921767669,11872326.95,297175.46,12169502.41,15339.8405901487,15480.4640640105,15102.4359512542,378.028112756322,0,0,1,0,0,0,0
NH,2018-2019,581,20780,Winnacunnet Cooperative,Winnacunnet High School,3307230,3307230,30500850100000,330723000463,1022.0,09-13,0.0,1007.69,Adjusted ADM,,,22411.8579622701,21562599.45,510802.85,22073402.3,22353.6415706312,21904.9532098165,21398.0484573628,506.904752453631,0,0,1,0,0,0,0
NH,2018-2019,582,22925,Winnisquam Regional,Sanbornton Central School,3307300,3307300,30500100900000,330730000464,199.0,KG-05,2.0,184.79,Adjusted ADM,,,21788.4084636614,3588192.0,219044.0,3807236.0,21118.7476994859,20603.0412901131,19417.6741165647,1185.36717354835,0,0,1,0,0,0,0
NH,2018-2019,582,27070,Winnisquam Regional,Southwick School,3307300,3307300,30500100900000,330730000204,211.0,03-05,2.0,219.07,Adjusted ADM,,,15140.9001688957,2956013.0,180452.0,3136465.0,14832.8881321098,14317.181722737,13493.4632765782,823.718446158762,0,0,1,0,0,0,0
NH,2018-2019,582,22945,Winnisquam Regional,Union Sanborn School,3307300,3307300,30500100900000,330730000467,235.0,PK-02,2.0,180.47,Adjusted ADM,,,18818.2246356735,3026601.0,184762.0,3211363.0,18310.14869895,17794.4422895772,16770.6599434809,1023.7823460963,0,0,1,0,0,0,0
NH,2018-2019,582,22950,Winnisquam Regional,Winnisquam Regional High School,3307300,3307300,30500100900000,330730000465,440.0,09-12,4.0,429.17,Adjusted ADM,,,19187.7018430924,7234202.0,500292.0,7734494.0,18537.6883745614,18021.9819651886,16856.2620872847,1165.71987790386,0,0,1,0,0,0,0
NH,2018-2019,582,22955,Winnisquam Regional,Winnisquam Regional Middle School,3307300,3307300,30500100900000,330730000466,356.0,06-08,3.0,356.8,Adjusted ADM,,,17311.9758968609,5463391.0,356761.0,5820152.0,16827.7916111665,16312.0852017937,15312.1945067264,999.890695067264,0,0,1,0,0,0,0
