state,year,distid_stateassigned,schoolid_stateassigned,distname,schoolname,ncesdistid_admin,ncesdistid_geo,census_id,ncesid,ncesenroll,gradespan,level,enroll_raw_AK,enrollmetric,pp_stloc_raw_AK,pp_fed_raw_AK,pp_total_raw_AK,pp_site_stloc_raw_AK,pp_site_fed_raw_AK,pp_site_raw_AK,pp_centshare_stloc_raw_AK,pp_centshare_fed_raw_AK,pp_centshare_raw_AK,schoolstloc_raw_AK,schoolfed_raw_AK,schooltot_raw_AK,pp_total_norm_NERDS,countenroll,noaudit,nositecen,adfinvars,distflex,flag_nerds,flag_f33
AK,2018-2019,32,320150,Lower Yukon,Nunam Iqua School,200003,200003,2000000031200,20000300413,68.0,PK-12,4.0,60.35,ADM,30324,5885,36209,22704,5754,28458,7620,131,7751,1830053.4,355159.75,2185213.15,36324.84958,0,0,0,0,0,0,0
AK,2018-2019,32,320110,Lower Yukon,Pilot Station School,200003,200003,2000000031200,20000300410,183.0,PK-12,4.0,183.1,ADM,28047,4116,32163,20427,3985,24412,7620,131,7751,5135405.7,753639.6,5889045.3,32278.84958,0,0,0,0,0,0,0
AK,2018-2019,32,320130,Lower Yukon,Russian Mission School,200003,200003,2000000031200,20000300222,124.0,PK-12,4.0,124,ADM,27565,3953,31518,19945,3822,23767,7620,131,7751,3418060,490172,3908232,31633.84958,0,0,0,0,0,0,0
AK,2018-2019,32,320140,Lower Yukon,Scammon Bay School,200003,200003,2000000031200,20000300412,208.0,PK-12,4.0,209.35,ADM,27934,3903,31837,20314,3772,24086,7620,131,7751,5847982.89999999,817093.049999999,6665075.95,31952.84958,0,0,0,0,0,0,0
AK,2018-2019,33,339010,Mat-Su,Academy Charter School,200510,200510,2101300730100,20051000311,254.0,KG-08,3.0,254,ADM,16664,105,16769,15558,26,15584,1106,79,1185,4232656,26670,4259326,16859.11225,0,0,0,0,0,0,0
AK,2018-2019,33,337050,Mat-Su,American Charter Academy,200510,200510,2101300730100,20051000452,193.0,KG-12,4.0,194.9,ADM,17888,130,18018,16782,51,16833,1106,79,1185,3486371.2,25337,3511708.2,18108.11225,0,0,0,0,0,0,0
AK,2018-2019,33,330370,Mat-Su,Beryozova School,200510,200510,2101300730100,20051000726,28.0,KG-12,4.0,28,ADM,12366,690,13056,11260,611,11871,1106,79,1185,346248,19320,365568,13146.11225,0,0,0,0,0,0,0
AK,2018-2019,33,330380,Mat-Su,Big Lake Elementary,200510,200510,2101300730100,20051000727,420.0,PK-05,2.0,418.53,ADM,13283,2351,15634,12177,2272,14449,1106,79,1185,5559333.98999999,983964.029999999,6543298.02,15724.11225,0,0,0,0,0,0,0
AK,2018-2019,33,339050,Mat-Su,Birchtree Charter School,200510,200510,2101300730100,20051000744,395.0,KG-08,3.0,396.2,ADM,16617,116,16733,15511,37,15548,1106,79,1185,6583655.39999999,45959.2,6629614.6,16823.11225,0,0,0,0,0,0,0
AK,2018-2019,33,337010,Mat-Su,Burchell High School,200510,200510,2101300730100,20051000720,190.0,09-12,4.0,195.9,ADM,18955,5024,23979,17849,4945,22794,1106,79,1185,3713284.5,984201.6,4697486.1,24069.11225,0,0,0,0,0,0,0
AK,2018-2019,33,330350,Mat-Su,Butte Elementary,200510,200510,2101300730100,20051000724,289.0,PK-05,2.0,279.97,ADM,15801,1853,17654,14695,1774,16469,1106,79,1185,4423805.97,518784.41,4942590.38,17744.11225,0,0,0,0,0,0,0
AK,2018-2019,33,330270,Mat-Su,Colony High School,200510,200510,2101300730100,20051000711,1054.0,09-12,4.0,1053.64,ADM,11537,658,12195,10431,579,11010,1106,79,1185,12155844.68,693295.12,12849139.8,12285.11225,0,0,0,0,0,0,0
AK,2018-2019,33,330260,Mat-Su,Colony Middle School,200510,200510,2101300730100,20051000719,781.0,06-08,3.0,780.65,ADM,11105,726,11831,9999,647,10646,1106,79,1185,8669118.25,566751.9,9235870.15,11921.11225,0,0,0,0,0,0,0
AK,2018-2019,33,330280,Mat-Su,Cottonwood Creek Elementary,200510,200510,2101300730100,20051000514,454.0,PK-05,2.0,447.45,ADM,13560,972,14532,12454,893,13347,1106,79,1185,6067422,434921.399999999,6502343.39999999,14622.11225,0,0,0,0,0,0,0
AK,2018-2019,33,330550,Mat-Su,Denaâ€™ina Elementary School,200510,200510,2101300730100,20051000759,372.0,PK-05,2.0,365.99,ADM,14010,1631,15641,12904,1552,14456,1106,79,1185,5127519.9,596929.69,5724449.59,15731.11225,0,0,0,0,0,0,0
AK,2018-2019,33,330290,Mat-Su,Finger Lake Elementary,200510,200510,2101300730100,20051000585,406.0,PK-05,2.0,401.62,ADM,12195,1424,13619,11089,1345,12434,1106,79,1185,4897755.9,571906.88,5469662.78,13709.11225,0,0,0,0,0,0,0
AK,2018-2019,33,330530,Mat-Su,Fred and Sara Machetanz Elementary School,200510,200510,2101300730100,20051000741,453.0,PK-05,2.0,447.45,ADM,13163,875,14038,12057,796,12853,1106,79,1185,5889784.35,391518.75,6281303.1,14128.11225,0,0,0,0,0,0,0
