state,year,distid_stateassigned,schoolid_stateassigned,distname,schoolname,ncesdistid_admin,ncesdistid_geo,census_id,ncesid,ncesenroll,gradespan,level,enroll_raw_ND,enrollmetric,pp_stloc_raw_ND,pp_fed_raw_ND,pp_total_raw_ND,schoolstloc_raw_ND,schoolfed_raw_ND,schooltot_raw_ND,pp_total_norm_NERDS,countenroll,noaudit,nositecen,adfinvars,distflex,flag_nerds,flag_f33
ND,2018-2019,29003,35302,Hazen Public School District,Hazen Middle School,3800031,3800031,35502901500000.0,380003100863,122.0,06-08,3.0,122,September Count,7868.09,51.25,7919.34,959906.98,6252.5,966159.48,10320.51968,1,0,1,0,0,0,0
ND,2018-2019,30013,35371,Hebron Public School District,Hebron Elementary School,3809180,3809180,35503002300000.0,380918000295,107.0,PK-06,2.0,103,September Count,13871.44,561.23,14432.67,1428758.32,57806.69,1486565.01,17381.05358,1,0,1,0,0,0,0
ND,2018-2019,30013,35373,Hebron Public School District,Hebron High School,3809180,3809180,35503002300000.0,380918000296,55.0,07-12,4.0,55,September Count,13871.44,561.23,14432.67,762929.2,30867.65,793796.85,17381.05358,1,0,1,0,0,0,0
ND,2018-2019,1013,35991,Hettinger Public School District,Hettinger Elementary School,3809410,3809410,35500101100000.0,380941000298,180.0,PK-06,2.0,154,September Count,11762.67,335.1,12097.77,1811451.18,51605.4,1863056.58,16210.9478,1,0,1,0,0,0,0
ND,2018-2019,1013,35993,Hettinger Public School District,Hettinger High School,3809410,3809410,35500101100000.0,380941000299,107.0,07-12,4.0,107,September Count,11762.67,335.1,12097.77,1258605.69,35855.7,1294461.39,16210.9478,1,0,1,0,0,0,0
ND,2018-2019,49009,36331,Hillsboro Public School District,Hillsboro Elementary School,3809570,3809570,35504901900000.0,380957000301,260.0,PK-06,2.0,255,September Count,9160.83,498.44,9659.27,2336011.65,127102.2,2463113.85,11805.85411,1,0,1,0,0,0,0
ND,2018-2019,49009,36303,Hillsboro Public School District,Hillsboro High School,3809570,3809570,35504901900000.0,380957000302,226.0,07-12,4.0,226,September Count,9650.76,0,9650.76,2181071.76,0,2181071.76,11797.34411,1,0,1,0,0,0,0
ND,2018-2019,49009,80781,Hillsboro Public School District,Spruce Lane Colony School,3809570,3809570,35504901900000.0,380957000871,8.0,KG-08,3.0,8,September Count,11800.23,0,11800.23,94401.84,0,94401.84,13946.81411,1,0,1,0,0,0,0
ND,2018-2019,9085,68871,HOPE PAGE 85,HOPE PAGE ELEMENTARY SCHOOL,3800404,3800404,,380040400900,,,0.0,NRD,September Count,NRD,NRD,NRD,NRD,NRD,NRD,,0,0,0,0,0,1,0
ND,2018-2019,9085,68883,HOPE PAGE 85,HOPE PAGE HIGH SCHOOL,3800404,3800404,,380040400901,,,0.0,NRD,September Count,NRD,NRD,NRD,NRD,NRD,NRD,,0,0,0,0,0,1,0
ND,2018-2019,46010,37293,Hope Public School District,Hope High School,3809710,3809710,35504601100000.0,380971000161,67.0,07-12,4.0,67,September Count,22797.19,173.3,22970.49,1527411.73,11611.1,1539022.83,26686.56716,1,0,1,0,0,0,0
ND,2018-2019,27032,37411,Horse Creek Public School District,Horse Creek School,3809810,3809810,35502701500000.0,380981000305,7.0,KG-08,3.0,7,September Count,15033.59,746.41,15780,105235.13,5224.87,110460,20571.42857,1,0,1,0,0,0,0
