state,year,distid_stateassigned,schoolid_stateassigned,distname,schoolname,ncesdistid_admin,ncesdistid_geo,census_id,ncesid,ncesenroll,gradespan,level,enroll_raw_IN,enrollmetric,pp_stloc_raw_IN,pp_fed_raw_IN,pp_total_raw_IN,schoolstloc_raw_IN,schoolfed_raw_IN,schooltot_raw_IN,pp_total_norm_NERDS,pp_instruction_site_raw_IN,pp_otherinstruct_site_raw_IN,pp_instruction_centshare_raw_IN,pp_operations_site_raw_IN,pp_operations_centshare_raw_IN,pp_instruction_raw_IN,pp_noninstruction_raw_IN,countenroll,noaudit,nositecen,adfinvars,distflex,flag_nerds,flag_f33
IN,2018-2019,9645,5716,Avondale Meadows Academy,Avondale Meadows Academy,1800057,1800057,,180005702314.0,437.0,KG-05,2.0,437,October Count Day,7722.98,1233.53,8956.5,3374942.26,539052.61,3913990.5,9366.132723,8332.64,0,0,623.86,0,8332.64,623.86,1,0,1,1,0,0,0
IN,2018-2019,9040,7094,Avondale Meadows Middle School,Avondale Meadows Middle School,1800184,1800184,,180018402620.0,185.0,06-08,3.0,185,October Count Day,7190.72,1015.51,8206.23,1330283.2,187869.35,1518152.54999999,8594.594595,6984.04,0,0,1222.19,0,6984.04,1222.18999999999,1,0,1,1,0,0,0
IN,2018-2019,1315,1075,Barr-Reeve Community Schools Inc,Barr Reeve Elementary School,1800330,1800330,15501400100000.0,180033000060.0,320.0,02-05,2.0,320,October Count Day,8437.66,378.39,8816.05,2700051.2,121084.799999999,2821136,9171.748749,5246.64,0,1810.87,0,1758.54,7057.51,1758.53999999999,1,0,1,1,0,0,0
IN,2018-2019,1315,1069,Barr-Reeve Community Schools Inc,Barr Reeve Middle/High School,1800330,1800330,15501400100000.0,180033000061.0,443.0,06-12,4.0,443,October Count Day,9465.78,378.39,9844.17,4193340.54,167626.77,4360967.31,10199.86875,5531.27,0,1810.87,743.5,1758.54,7342.14,2502.02999999999,1,0,1,1,0,0,0
IN,2018-2019,1315,1073,Barr-Reeve Community Schools Inc,Barr Reeve Primary Grade School,1800330,1800330,15501400100000.0,180033000062.0,172.0,KG-01,1.0,172,October Count Day,5989.74,378.39,6368.13,1030235.27999999,65083.0799999999,1095318.36,6723.828749,2582.21,0,1810.87,216.52,1758.54,4393.08,1975.05,1,0,1,1,0,0,0
IN,2018-2019,365,0390,Bartholomew Con School Corp,Central Middle School,1800360,1800360,15500370100000.0,180036000063.0,875.0,07-08,3.0,875,October Count Day,9290.61,200.31,9490.92,8129283.75,175271.25,8304555,10475.90697,6034.06,244.2,1044.43,453.23,1715,7078.49,2412.42999999999,1,0,1,1,0,0,0
IN,2018-2019,365,0328,Bartholomew Con School Corp,Clifty Creek Elementary School,1800360,1800360,15500370100000.0,180036002188.0,548.0,PK-06,2.0,548,October Count Day,8846.87,1247.8,10094.67,4848084.76,683794.4,5531879.16,11079.65697,6526.59,452.15,1044.43,356.51,1715,7571.02,2523.64999999999,1,0,1,1,0,0,0
IN,2018-2019,365,0387,Bartholomew Con School Corp,Columbus Area Career Connection,1800360,1800360,15500370100000.0,180036000369.0,0.0,PK-12,4.0,NRD,October Count Day,NRD,NRD,NRD,NRD,NRD,NRD,,NRD,NRD,NRD,NRD,NRD,NRD,NRD,1,0,1,1,0,1,0
IN,2018-2019,365,0399,Bartholomew Con School Corp,Columbus East High School,1800360,1800360,15500370100000.0,180036000065.0,1475.0,09-12,4.0,1475,October Count Day,9953.67,368.02,10321.69,14681663.25,542829.5,15224492.75,11306.67697,6144.1,1042.76,1044.43,375.39,1715,7188.53,3133.16,1,0,1,1,0,0,0
IN,2018-2019,365,0397,Bartholomew Con School Corp,Columbus North High School,1800360,1800360,15500370100000.0,180036000066.0,2063.0,09-12,4.0,2063,October Count Day,9483.59,399.77,9883.36,19564646.17,824725.51,20389371.68,10868.34697,5528.45,1150,1044.43,445.48,1715,6572.88,3310.48,1,0,1,1,0,0,0
